AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO CALLE;NOMBRE CALLE;CALIFICACION;NRO MULTAS;IMPORTE PAGADO;IMPORTE PENDIENTE DE PAGO EN EJECUTIVA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2021;80;ZUMARRAGA;;;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;GRAVE;4;240;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2021;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;LEVE;27;695,95;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2021;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2021;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;GRAVE;6;215;644,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2021;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;LEVE;59;579,45;232,2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2021;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;GRAVE;10;734,95;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2021;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;LEVE;4;30;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;MUY GRAVE;2;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2021;80;ZUMARRAGA;1140;JAI-ALAI KALEA;GRAVE;2;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2021;80;ZUMARRAGA;1140;JAI-ALAI KALEA;LEVE;8;45;36,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2021;80;ZUMARRAGA;1150;LEGAZPI KALEA;GRAVE;1;0;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2021;80;ZUMARRAGA;1150;LEGAZPI KALEA;LEVE;35;325;186,75;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2021;80;ZUMARRAGA;1160;PIEDAD KALEA;GRAVE;4;100;429,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1160;PIEDAD KALEA;LEVE;88;969,35;259,65;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;GRAVE;6;300;449,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2021;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;LEVE;96;1166,45;373,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2021;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;MUY GRAVE;1;30;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1180;SORALUCE KALEA;LEVE;32;317,72;107,08;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2021;80;ZUMARRAGA;1190;UROLA KALEA;GRAVE;4;100;429,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2021;80;ZUMARRAGA;1190;UROLA KALEA;LEVE;3;30;36,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1191;ZELAI-ARIZTI PARKEA;LEVE;186;1869,85;486,3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2021;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;LEVE;3;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2021;80;ZUMARRAGA;1220;BIDEZAR KALEA;GRAVE;6;200;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2021;80;ZUMARRAGA;1220;BIDEZAR KALEA;LEVE;72;902,2;314,1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2021;80;ZUMARRAGA;1230;TXURRUKA KALEA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1230;TXURRUKA KALEA;LEVE;4;60;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2021;80;ZUMARRAGA;1240;ELIZKALE;GRAVE;12;844,95;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2021;80;ZUMARRAGA;1240;ELIZKALE;LEVE;36;402,9;72,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2021;80;ZUMARRAGA;1240;ELIZKALE;MUY GRAVE;2;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1250;KALEBARREN;GRAVE;9;744,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1250;KALEBARREN;LEVE;67;1132,55;145,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1260;NAFARROA ENPARANTZA;LEVE;2;15;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2021;80;ZUMARRAGA;1270;OKENDO KALEA;GRAVE;3;100;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1270;OKENDO KALEA;LEVE;5;30;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1310;ARTIZ AUZOA;GRAVE;3;100;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2021;80;ZUMARRAGA;1310;ARTIZ AUZOA;LEVE;2;15;36,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1330;ISLAS FILIPINAS KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1330;ISLAS FILIPINAS KALEA;LEVE;1;40;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;GRAVE;2;200;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2021;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;LEVE;18;226,45;36,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;GRAVE;5;200;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2021;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;LEVE;11;220;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1510;ANTONINO ORAA KALEA;GRAVE;7;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1510;ANTONINO ORAA KALEA;LEVE;5;85;100,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2021;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;GRAVE;6;200;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;LEVE;30;345;200,25;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2021;80;ZUMARRAGA;1610;ANTZIÑE HIRIBIDEA;GRAVE;5;214,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2021;80;ZUMARRAGA;1610;ANTZIÑE HIRIBIDEA;LEVE;3;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2021;80;ZUMARRAGA;1620;BUSKA SAGASTIZABAL PARKEA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2021;80;ZUMARRAGA;1620;BUSKA SAGASTIZABAL PARKEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2021;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;GRAVE;8;215;1224,75;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2021;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;LEVE;31;175,95;282,15;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2021;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;MUY GRAVE;3;250;604,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2021;80;ZUMARRAGA;1650;SAN ISIDRO KALEA;GRAVE;3;200;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2021;80;ZUMARRAGA;1650;SAN ISIDRO KALEA;LEVE;3;30;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;1670;ELGARRESTAMENDI KALEA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2021;80;ZUMARRAGA;1720;SAKABANATUAK;GRAVE;3;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2021;80;ZUMARRAGA;7003;IZAZPI AUZOA;GRAVE;3;200;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2021;80;ZUMARRAGA;7005;ANGEL CRUZ JAKA AUZUNEA;MUY GRAVE;1;250;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2021;80;ZUMARRAGA;7211;ELKANO KALEA;GRAVE;4;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2021;80;ZUMARRAGA;7211;ELKANO KALEA;LEVE;17;123,79;182,97;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2021;80;ZUMARRAGA;7212;IBAIONDO;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2021;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;GRAVE;43;2944,95;919,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2021;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;LEVE;67;962,4;72,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2021;80;ZUMARRAGA;7214;ANTIO;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
