AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO CALLE;NOMBRE CALLE;CALIFICACION;NRO MULTAS;IMPORTE PAGADO;IMPORTE PENDIENTE DE PAGO EN EJECUTIVA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2019;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;LEVE;28;300;78,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2019;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;LEVE;17;160;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2019;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;GRAVE;17;1034,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2019;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;LEVE;5;45;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2019;80;ZUMARRAGA;1140;JAI-ALAI KALEA;LEVE;6;75;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;1150;LEGAZPI KALEA;LEVE;18;200;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2019;80;ZUMARRAGA;1160;PIEDAD KALEA;GRAVE;4;100;469,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2019;80;ZUMARRAGA;1160;PIEDAD KALEA;LEVE;42;366,45;78,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2019;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;GRAVE;2;40;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2019;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;LEVE;96;959,85;629,7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2019;80;ZUMARRAGA;1180;SORALUCE KALEA;LEVE;8;60;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;1190;UROLA KALEA;GRAVE;3;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2019;80;ZUMARRAGA;1190;UROLA KALEA;LEVE;3;15;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1191;ZELAI-ARIZTI PARKEA;LEVE;64;545,4;330,05;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2019;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;GRAVE;6;200;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2019;80;ZUMARRAGA;1210;BELOKI HIRIBIDEA;LEVE;8;75;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2019;80;ZUMARRAGA;1220;BIDEZAR KALEA;GRAVE;4;100;714,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2019;80;ZUMARRAGA;1220;BIDEZAR KALEA;LEVE;48;430;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2019;80;ZUMARRAGA;1230;TXURRUKA KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;1230;TXURRUKA KALEA;LEVE;4;60;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;1240;ELIZKALE;GRAVE;10;300;704,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2019;80;ZUMARRAGA;1240;ELIZKALE;LEVE;20;204,99;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2019;80;ZUMARRAGA;1250;KALEBARREN;GRAVE;6;650;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1250;KALEBARREN;LEVE;95;1202,4;876,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2019;80;ZUMARRAGA;1270;OKENDO KALEA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;1270;OKENDO KALEA;LEVE;2;30;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1310;ARTIZ AUZOA;LEVE;5;60;81,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1320;IÑIGO DE LOIOLA KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2019;80;ZUMARRAGA;1320;IÑIGO DE LOIOLA KALEA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2019;80;ZUMARRAGA;1330;ISLAS FILIPINAS KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2019;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2019;80;ZUMARRAGA;1350;URDANETA HIRIBIDEA;LEVE;9;60;78,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2019;80;ZUMARRAGA;1420;HIRI LORATEGIA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2019;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;GRAVE;2;0;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1430;ESTEBAN ORBEGOZO IBILALDIA;LEVE;2;15;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2019;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;GRAVE;6;0;469,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2019;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;LEVE;5;90;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2019;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2019;80;ZUMARRAGA;1510;ANTONINO ORAA KALEA;GRAVE;2;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2019;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;GRAVE;3;200;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;LEVE;6;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2019;80;ZUMARRAGA;1550;JOXE MIEL BARANDIARAN AUZUNEA;GRAVE;3;100;469,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2019;80;ZUMARRAGA;1620;BUSKA SAGASTIZABAL PARKEA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2019;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;GRAVE;2;0;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2019;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;LEVE;18;135;78,9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2019;80;ZUMARRAGA;6001;ZUMARRAGAKO INDUSTRIALDEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2019;80;ZUMARRAGA;7001;IPAR HAIZEA AUZOA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2019;80;ZUMARRAGA;7001;IPAR HAIZEA AUZOA;LEVE;1;0;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2019;80;ZUMARRAGA;7003;IZAZPI AUZOA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2019;80;ZUMARRAGA;7003;IZAZPI AUZOA;LEVE;1;40;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2019;80;ZUMARRAGA;7003;IZAZPI AUZOA;MUY GRAVE;1;500;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2019;80;ZUMARRAGA;7211;ELKANO KALEA;GRAVE;6;200;96,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2019;80;ZUMARRAGA;7211;ELKANO KALEA;LEVE;7;105;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2019;80;ZUMARRAGA;7212;IBAIONDO;GRAVE;2;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2019;80;ZUMARRAGA;7212;IBAIONDO;LEVE;2;15;39,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
