,title,director,year,stars,tmdb_title,tmdb_id,tmdb_genre,tmdb_lang,tmdb_runtime,tmdb_vote_cnt,tmdb_vote_avg
276,Microcosmos: le peuple de l´herbe,Claude Nuridsany,1996,4.0,Microcosmos,9305,Documentary,fr,80,211,7.5
277,Esperando a Superman,Davis Guggenheim,2010,,"Waiting for ""Superman""",39440,Documentary,en,111,125,6.9
278,Elisa K,Jordi Cadena,2010,,Elisa K,110207,Film,ca,71,9,5.0
279,Cinco condiciones,Lars Von Trier,2003,,The Five Obstructions,12456,Documentary,da,90,143,6.902
280,The Master,Paul Thomas Anderson,2012,,The Master,68722,Film,en,137,2794,7.153
281,Ai Weiwei: Never Sorry,Alison Klayman,2012,,Ai Weiwei: Never Sorry,84169,Documentary,en,92,75,7.0
282,De tu ventana a la mía,Paula Ortiz,2011,,From Your Window to Mine,85452,Film,es,100,17,6.9
283,Chico y Rita,Fernando Trueba,2010,,Chico & Rita,63498,Film,es,94,217,7.21
284,Buena Vista Social Club,Wim Wenders,1999,,Buena Vista Social Club,11779,Documentary,en,105,292,7.524
285,Martha Marcy May Marlene,Sean Durkin,2011,,Martha Marcy May Marlene,50837,Film,en,101,694,6.631
286,El cuaderno de barro,Isaki Lacuesta,2011,,El cuaderno de barro,132053,Film,en,60,3,7.0
287,Los pasos dobles,Isaki Lacuesta,2011,,The Double Steps,80189,Film,es,86,3,6.5
288,Blancanieves,Pablo Berger,2012,,Blancanieves,127864,Film,es,104,220,7.28
289,Léolo,Jean-Claude Lauzon,1992,4.0,Léolo,11139,Film,fr,107,116,7.078
290,La espalda del mundo,Javier Corcuera,2000,,The Back of the World,115610,Documentary,en,89,4,6.5
291,Un tal Eusebi,Iban del Campo,2003,4.0,,,,,,,
292,El taxista ful,Jo Sol,2006,4.0,The Taxi Thief,334706,Film,es,90,6,6.3
293,Drive,Nicolas Winding Refn,2011,,Drive,64690,Film,en,100,12014,7.574
294,La pesadilla de Darwin,Hubert Sauper,2004,,Darwin's Nightmare,415253,Documentary,en,107,43,7.1
295,Una verdad incómoda,Davis Guggenheim,2006,,An Inconvenient Truth,1781,Documentary,en,100,821,7.0
296,Familystrip,Luis Miñarro,2009,,Familystrip,98383,Documentary,es,70,0,0.0
297,La casa de mi abuela,Adán Aliaga,2005,,My Grandmother's House,181977,Documentary,es,80,4,5.8
298,Amour,Michael Haneke,2012,5.0,Amour,86837,Film,fr,127,1515,7.771
299,Woody Allen: A Documentary,Robert B. Weide,2012,,Woody Allen: A Documentary,81167,Documentary,en,192,156,6.821
300,Saló o los 120 días de Sodoma,Pier Paolo Pasolini,1975,,"Salò, or the 120 Days of Sodom",5336,Film,it,117,1881,6.415
301,Searching for Sugar Man,Malik Bendjelloul,2012,,Searching for Sugar Man,84334,Documentary,en,85,862,7.884
302,El bosque del luto,Naomi Kawase,2007,,The Mourning Forest,2010,Film,ja,98,41,6.793
303,Honor de cavalleria,Albert Serra,2006,4.0,Honour of the Knights,85461,Film,ca,103,26,7.2
304,En la ciudad de Sylvia,José Luis Guerin,2007,4.0,In the City of Sylvia,29568,Film,es,82,46,7.0
305,Fake Orgasm,Jo Sol,2010,,Fake Orgasm,163822,Documentary,en,81,0,0.0
306,La soledad,Jaime Rosales,2007,,Solitary Fragments,39489,Film,es,135,18,5.9
307,Gazta zati bat,Jon Maia,2012,,A Piece of Cheese,109791,Documentary,eu,99,2,6.5
308,Close Up,Abbas Kiarostami,1990,,Close-Up,30017,Film,fa,98,338,7.867
309,"Aguirre, la cólera de Dios",Werner Herzog,1972,,"Aguirre, the Wrath of God",2000,Film,de,95,1006,7.506
310,Play Time,Jacques Tati,1967,,PlayTime,10227,Film,fr,115,520,7.7
311,Finisterrae,Sergio Caballero,2010,,Finisterrae,60120,Film,ca,80,20,7.6
312,Boudu salvado de las aguas,Jean Renoir,1932,4.0,Boudu Saved from Drowning,48365,Film,fr,84,117,6.966
313,Banda aparte,Jean Luc Godard,1964,,Band of Outsiders,8073,Film,fr,97,522,7.552
314,Cómo cocinar tu vida,Doris Dörrie,2007,,How to Cook Your Life,2049,Documentary,en,93,7,5.0
315,Las amistades peligrosas,Stephen Frears,1988,,Dangerous Liaisons,859,Film,en,119,1076,7.215
316,Man on Wire,James Marsh,2008,,Man on Wire,14048,Documentary,en,94,816,7.389
317,Blow-Up,Michelangelo Antonioni,1966,,Blow-Up,1052,Film,en,111,1156,7.4
318,The General,Buster Keaton,1926,,The General,961,Film,en,79,1136,7.952
319,La noche americana,François Truffaut,1973,,Day for Night,1675,Film,fr,116,563,7.829
320,Luna de Avellaneda,Juan José Campanella,2004,,Moon of Avellaneda,57977,Film,es,143,73,6.979
321,Dolls,Takeshi Kitano,2002,,Dolls,870,Film,ja,114,293,7.587
322,Al este del edén,Elia Kazan,1955,,East of Eden,220,Film,en,115,692,7.56
323,Your Sister´s Sister,Lynn Shelton,2011,,Your Sister's Sister,84355,Film,en,90,315,6.443
324,Concursante,Rodrigo Cortés,2007,,The Contestant,48453,Film,es,88,39,5.8
325,Shadows,John Cassavetes,1959,,Shadows,15484,Film,en,87,220,6.955
326,El sabor de la sandía,Tsai Ming-liang,2005,,The Wayward Cloud,36253,Film,zh,114,96,5.9
327,Johnny cogió su fusil,Dalton Trumbo,1971,,Johnny Got His Gun,16328,Film,en,112,353,7.472
328,Buried,Rodrigo Cortés,2010,,Buried,26388,Film,en,94,2648,6.612
329,Extraños en el paraíso,Jim Jarmusch,1984,,Stranger Than Paradise,469,Film,en,86,487,7.143
330,Annie Leibovitz,Barbara Leibovitz,2006,,Annie Leibovitz: Life Through a Lens,49255,Documentary,en,83,22,7.568
331,The Turin Horse,Bela Tarr,2011,,The Turin Horse,81401,Film,hu,155,330,7.7
332,Los mundos sutiles,Eduardo Chapero Jackson,2015,,Los mundos sutiles,622053,Documentary,es,85,4,6.5
333,Moon,Duncan Jones,2009,,Moon,17431,Film,en,97,5371,7.568
334,La maleta mexicana,Trisha Ziff,2011,4.0,The Mexican Suitcase,80118,Documentary,es,86,12,7.8
335,Las tortugas también vuelan,Bahman Ghobadi,2004,,Turtles Can Fly,8340,Film,ku,98,205,7.7
336,Habemus Papam,Nanni Moretti,2011,,We Have a Pope,61667,Film,it,102,502,6.81
337,Jules y Jim,François Truffaut,1962,,Jules and Jim,1628,Film,fr,106,892,7.596
338,La sombra del iceberg,Hugo Domenech,2007,,La sombra del iceberg,247635,Film,es,76,5,5.2
339,Cinco metros cuadrados,Max Lemcke,2011,,Five Square Meters,79749,Film,es,86,15,5.7
340,Coffee and Cigarettes,Jim Jarmusch,2003,,Coffee and Cigarettes,883,Film,en,96,865,6.96
341,Esto no es una película,Jafar Panahi,2011,,This Is Not a Film,83552,Documentary,fa,75,84,7.114
342,Las nieves del Kilimanjaro,Robert Guediguian,2011,,The Snows of Kilimanjaro,91690,Film,fr,107,118,6.7
343,Los intocables,Brian de Palma,1986,,Blind Trust,163533,Film,fr,86,7,6.0
344,Proyecto Nim,James Marsh,2011,,Project Nim,63579,Documentary,en,93,125,6.8
345,REC,Jaume Balagueró,2007,,Total Recall,861,Film,en,113,5425,7.293
346,Down By Law,Jim Jarmusch,1986,,Down by Law,1554,Film,en,106,685,7.363
347,La vida de Pi,Ang Lee,2012,,Trouble with the Curve,87825,Film,en,111,1483,6.974
348,Night on Earth,Jim Jarmusch,1991,,Night on Earth,339,Film,en,128,828,7.526
349,El globo blanco,Jafar Panahi,1995,,The White Balloon,46785,Film,fa,85,81,7.531
350,El sabor de las cerezas,Abbas Kiarostami,1997,,Taste of Cherry,30020,Film,fa,99,532,7.644
351,Arrugas,Ignacio Ferreras,2011,,Wrinkles,85444,Film,es,89,120,7.554
352,Macbeth,Orson Welles,1948,,Macbeth,27883,Film,en,107,153,7.324
353,Persona,Ingmar Bergman,1966,4.0,Persona,797,Film,sv,83,1989,8.2
354,Capturing the Friedmans,Andrew Jarecki,2003,4.0,Capturing the Friedmans,2260,Documentary,en,107,312,7.184
355,La morte rouge,Víctor Erice,2006,,La Morte Rouge,213598,Documentary,es,34,15,6.667
356,Monos como Becky,Joaquim Jordá,1999,,Monkeys Like Becky,32548,Documentary,es,97,4,6.5
357,La nana,Sebastián Silva,2009,,The Maid,27567,Film,es,97,74,6.7
358,El curioso caso de Benjamin Button,David Fincher,2008,,The Curious Case of Benjamin Button,4922,Film,en,166,12182,7.582
359,"Comer, beber, amar",Ang Lee,1994,,Eat Drink Man Woman,10451,Film,zh,123,302,7.52
360,La doctrina del shock,Michael Winterbottom,2009,,The Shock Doctrine,41116,Documentary,en,82,53,7.1
361,La ceremonia,Claude Chabrol,1995,,La Ceremonie,1802,Film,fr,111,304,7.308
362,La colmena,Mario Camus,1982,,The Beehive,104435,Film,es,112,40,6.338
363,Hamlet,Laurence Olivier,1948,,Hamlet,23383,Film,en,153,233,7.448
364,La casa de Bernarda Alba,Mario Camus,1987,,The House of Bernarda Alba,98997,Film,es,99,25,6.98
365,La duda,John Patrick Shanley,2008,,Doubt,14359,Film,en,104,1586,7.2
366,De óxido y hueso,Jacques Audiard,2012,,Rust and Bone,97365,Film,fr,123,1305,7.175
367,El molino y la cruz,Lech Majewski,2011,,The Mill and the Cross,57829,Film,pl,96,91,6.489
368,Tyrannosaur,Paddy Considine,2011,,Tyrannosaur,76543,Film,en,93,426,7.243
369,"Primavera, Verano, Otoño, Invierno",Kim Ki-duk,2003,,"Spring, Summer, Fall, Winter... and Spring",113,Film,ko,103,989,7.9
370,Una película hablada,Manoel de Oliveira,2003,,A Talking Picture,95536,Film,pt,96,32,7.1
371,Azul,Krzysztof Kieslowski,1993,,Three Colors: Blue,108,Film,fr,98,1561,7.671
372,Nosferatu,Friedrich W. Murnau,1922,,Nosferatu,653,Film,de,94,1841,7.706
373,El símbolo y el cuate,Francesc Relea,2013,,Serrat & Sabina: Two for the Road,219351,Documentary,es,82,2,7.0
374,Violeta se fue a los cielos,Andrés Wood,2011,,Violeta Went to Heaven,80717,Film,es,110,42,6.869
375,Contraté a un asesino a sueldo,Aki Kaurismäki,1990,,I Hired a Contract Killer,7975,Film,en,80,158,6.899
376,La chica de la fábrica de cerillas,Aki Kaurismäki,1990,,The Match Factory Girl,7974,Film,fi,69,221,7.342
377,No amarás,Krzysztof Kieslowski,1988,,A Short Film About Love,31056,Film,pl,87,331,7.82
378,La vida útil,Federico Veiroj,2010,,A Useful Life,81523,Film,es,63,21,6.2
379,Blanco,Krzysztof Kieslowski,1994,,The Man in White,261073,Film,es,90,8,3.8
380,La vida de Adèle,Abdellatif Kechiche,2013,5.0,Blue Is the Warmest Color,152584,Film,fr,180,4384,7.089
381,Rojo,Krzysztof Kieslowski,1994,,Three Colors: Red,110,Film,fr,100,1274,7.936
382,Yi Yi,Edward Yang,2000,,Yi Yi,25538,Film,zh,173,483,7.875
383,La escurridiza,Abdellatif Kechiche,2003,,Games of Love and Chance,1549,Film,fr,124,135,6.719
384,Latcho Drom,Tony Gatlif,1993,,Latcho Drom,47105,Documentary,fr,103,37,7.5
385,Gente en sitios,Juan Cavestany,2013,4.0,People in Places,212836,Film,es,78,16,5.25
386,La espigadora,Agnes Varda,2000,4.0,The Gleaners and I,44379,Documentary,fr,82,156,7.6
387,Madeinusa,Claudia Llosa,2006,,Madeinusa,46820,Film,es,100,20,6.0
388,Los paraguas de Cherburgo,Jacques Demy,1964,,The Umbrellas of Cherbourg,5967,Film,fr,93,706,7.397
389,La gran belleza,Paolo Sorrentino,2013,4.0,The Great Beauty,179144,Film,it,142,2959,7.506
390,Stories We Tell,Sarah Polley,2013,,Stories We Tell,128216,Documentary,en,109,201,7.042
391,La jaula de oro,Diego Quemada-Díez,2013,4.0,The Golden Dream,186976,Film,es,110,134,6.799
392,Crepúsculo en Tokio,Yasujiro Ozu,1957,,Tokyo Twilight,55192,Film,ja,141,107,7.589
393,Fuego en el cuerpo,Lawrence Kasdan,1981,,Body Heat,14412,Film,en,113,541,7.006
394,La caza,Thomas Vinteberg,2012,4.0,The Hunt,103663,Film,da,116,3889,8.103
395,Hoy empieza todo,Bertrand Tavernier,1999,,It All Starts Today,32273,Film,fr,117,47,6.904
396,Un hombre sin pasado,Aki Kaurismäki,2002,,The Man Without a Past,7294,Film,fi,97,306,7.43
397,Bertsolari,Asier Altuna,2011,,Bertsolari,139863,Documentary,eu,90,0,0.0
398,Primavera tardía,Yasujiro Ozu,1949,4.0,Late Spring,20530,Film,ja,110,361,8.022
399,"He nacido, pero",Yasujiro Ozu,1932,,"I Was Born, But...",28268,Film,ja,91,116,7.487
400,El último Elvis,Armando Bo,2012,,The Last Elvis,84302,Film,es,92,17,5.5
401,Otoño tardío,Yasujiro Ozu,1960,,Late Autumn,21967,Film,ja,128,132,7.777
402,La hierba errante,Yasujiro Ozu,1959,,Floating Weeds,46918,Film,ja,115,159,7.469
403,"Almanya, bienvenido a Alemania",Yasemin Samdereli,2011,,Almanya: Welcome to Germany,63849,Film,de,101,172,6.608
404,Guest,José Luis Guerin,2011,,Guest,85924,Documentary,en,126,8,6.0
405,La mujer sin piano,Javier Rebollo,2009,,Woman Without Piano,237771,Film,es,94,9,5.9
406,Stockholm,Rodrigo Sorogoyen,2013,,Stockholm,185738,Film,es,90,94,6.324
407,Días de pesca,Carlos Sorin,2012,,Gone Fishing,128070,Film,es,78,11,5.7
408,Mud,Jeff Nichols,2012,,Mud,103731,Film,en,130,2628,7.059
409,La ventana,Carlos Sorin,2008,,Rear Window,567,Film,en,115,6118,8.353
410,Page One. The New York Times,Andrew Rossi,2011,,Page One: Inside the New York Times,63144,Documentary,en,88,59,6.9
411,Opera Prima,Fernando Trueba,1980,,Opera Prima,4500,Film,es,94,12,6.0
412,Stella,Sylvie Verheyde,2008,,Stella,17605,Film,fr,103,52,6.798
413,El lado oscuro del corazón,Eliseo Subiela,1992,,The Dark Side of the Heart,74938,Film,es,127,98,7.342
414,Ayurveda,Pan Nalin,2001,,Ayurveda: Art of Being,73981,Documentary,en,101,6,5.2
415,I am,Tom Shadyac,2010,,I Am Legend,6479,Film,en,101,15032,7.2
416,La plaga,Neus Ballús,2012,,The Plague Dogs,30060,Film,en,103,230,7.941
417,Arraianos,Eloy Enciso,2012,,Arraianos,153571,Film,es,70,6,6.0
418,Gravity,Alfonso Cuarón,2013,,Gravity,49047,Film,en,91,14718,7.163
419,En la casa,François Ozon,2012,,La nena se casa... en Navidad,419128,Film,es,0,0,0.0
420,La herida,Fernando Franco,2013,,Wounded,209418,Film,es,98,31,4.903
421,Las malas hierbas,Alain Resnais,2009,,Wild Grass,37842,Film,fr,104,75,6.04
422,El tren de la memoria,Marta Arribas,2005,,Train of Memory,100085,Documentary,es,85,2,6.5
423,Rebecca,Alfred Hitchcock,1940,,Rebecca,223,Film,en,130,1643,7.914
424,Shortbus,John Cameron Mitchell,2006,,Shortbus,1378,Film,en,101,470,6.329
425,Extraños en un tren,Alfred Hitchcock,1951,,Strangers on a Train,845,Film,en,101,1565,7.678
426,Alguien voló sobre el nido del cuco,Milos Forman,1975,5.0,One Flew Over the Cuckoo's Nest,510,Film,en,133,9921,8.422
427,Solo ante el peligro,Fred Zinnemann,1952,5.0,High Noon,288,Film,en,85,1324,7.7
428,All About Eve,Joseph L. Mankiewicz,1950,,All About Eve,705,Film,en,139,1431,8.113
429,Casablanca,Michael Curtiz,1942,,Casablanca,289,Film,en,102,5104,8.168
430,Ciudadano Kane,Orson Welles,1941,,Citizen Kane,15,Film,en,119,5189,8.007
431,El disputado voto del señor Cayo,Antonio Giménez-Rico,1986,,El disputado voto del señor Cayo,99766,Film,es,94,10,5.3
432,La mitad del cielo,Manuel Gutiérrez Aragón,1986,,La mitad del cielo,186149,Film,es,127,6,6.3
433,El hombre tranquilo,John Ford,1952,5.0,The Quiet Man,3109,Film,en,129,479,7.317
434,Una familia de Tokio,Yoji Yamada,2013,,Tokyo Family,187662,Film,ja,146,57,7.421
435,Innisfree,José Luis Guerin,1990,,Innisfree,100101,Documentary,en,110,4,6.0
436,Tren de sombras,José Luis Guerin,1997,,Train of Shadows,32934,Film,es,88,15,6.8
437,Ida,Pawel Pawlikowski,2013,,Ida,209274,Film,pl,82,920,7.246
438,Tiempo de revancha,Adolfo Aristarain,1981,,Time for Revenge,43428,Film,es,112,26,6.962
439,Her,Spike Jonze,2013,,Her,152601,Film,en,126,13685,7.86
440,El genio de Darwin: Las claves de la evolución,Richard Dawkins,2008,,,,,,,,
441,Omar,Hany Abu-Assad,2013,,Omar Killed Me,68178,Film,fr,85,97,6.6
442,Cinema Paradiso,Giuseppe Tornatore,1988,,Cinema Paradiso,11216,Film,it,124,4108,8.452
443,El artista y la modelo,Fernando Trueba,2012,,The Artist and the Model,115821,Film,es,104,39,6.115
444,Bestias del sur salvaje,Benh Zeitlin,2012,,Beasts of the Southern Wild,84175,Film,en,93,997,6.815
445,Kramer contra Kramer,Robert Benton,1979,,Kramer vs. Kramer,12102,Film,en,105,2072,7.56
446,Amor bajo el espino blanco,Zhang Yimou,2010,,Under the Hawthorn Tree,50542,Film,zh,113,122,7.717
447,Loreak,José Mari Goenaga,2014,,Flowers,260313,Film,eu,99,53,6.8
448,Ocho apellidos vascos,Emilio Martínez-Lázaro,2014,,Spanish Affair,236737,Film,es,98,596,6.7
449,Las brujas de Zugarramurdi,Alex De La Iglesia,2013,,Witching & Bitching,179538,Film,es,110,612,6.35
450,Fish Tank,Andrea Arnold,2009,,Fish Tank,24469,Film,en,123,784,6.975
451,Hannah Arendt,Margarethe von Trotta,2012,,Hannah Arendt,121873,Film,de,113,257,6.938
452,La bicicleta verde,Haifaa Al-Mansour,2012,,Wadjda,129112,Film,ar,98,459,7.225
453,Sólo un beso (Ae Fond Kiss),Ken Loach,2004,5.0,Ae Fond Kiss...,1404,Film,en,104,103,6.471
454,Esa pareja feliz,Luis G. Berlanga,1953,,That Happy Couple,111471,Film,es,78,24,6.3
455,Asier eta biok,Aitor Merino,2014,,Asier ETA biok,234155,Documentary,es,94,11,6.4
456,Some Like It Hot,Billy Wilder,1959,,Some Like It Hot,239,Film,en,122,3258,8.106
457,El último beso,Gabriele Muccino,2001,,The Last Kiss,12308,Film,it,115,490,6.419
458,Dancing Dreams,Rainer Hoffman,2010,,Dancing Dreams,57399,Documentary,de,92,13,6.8
459,Flor del desierto,Sherry Hormann,2009,,Desert Flower,33997,Film,en,120,392,7.578
460,Caos calmo,Antonello Grimaldi,2008,,Quiet Chaos,22274,Film,it,108,182,6.453
461,Iluminados por el fuego,Tristán Bauer,2005,,Blessed by Fire,60435,Film,es,100,19,6.2
462,Buscando a Eric,Ken Loach,2009,4.0,Looking for Eric,18898,Film,en,119,313,6.5
463,Cuadernos de contabilidad de Manolo Millares,Juan Millares,2006,,Cuadernos de contabilidad de Manolo Millares,219301,Documentary,en,0,0,0.0
464,La parte de los ángeles,Ken Loach,2012,,The Angels' Share,103747,Film,en,101,526,6.999
465,The Act of Killing,Joshua Oppenheimer,2012,,The Act of Killing,123678,Documentary,id,159,634,7.692
466,El gran hotel Budapest,Wes Anderson,2014,,The Grand Budapest Hotel,120467,Film,en,100,14141,8.052
467,Sud Express,Chema de la Peña,2006,,Sud express,107418,Film,es,102,4,4.5
468,Interstellar,Christopher Nolan,2014,,Interstellar,157336,Film,en,169,33563,8.428
469,Lourdes,Jessica Hausner,2009,4.0,Lourdes,41123,Film,fr,95,68,6.735
470,Ciutat morta,Xavier Artigas,2013,,The Mortal Instruments: City of Bones,123553,Film,en,130,4331,6.4
471,Le père de mes enfants,Mia Hansen-Love,2009,,Father of My Children,43614,Film,fr,111,60,6.742
472,Exils,Tony Gatlif,2004,,Exiles,18497,Film,fr,104,41,5.9
473,Garage,Lenny Abrahamson,2007,,Garage,18595,Film,en,85,37,6.9
474,La pesca del salmón en Yemen,Lasse Hallstrom,2011,,Salmon Fishing in the Yemen,81025,Film,en,107,833,6.419
475,Naufragio,Pedro Aguilera,2011,,Naufragio,112251,Film,es,95,4,5.2
476,Magical Girl,Carlos Vermut,2014,,Magical Girl,282983,Film,es,127,182,7.39
477,Carmina y amén,Paco León,2014,,Carmina and Amen,241968,Film,es,97,78,6.1
478,La sal de la tierra,Wim Wenders,2014,,The Salt of the Earth,265297,Documentary,fr,110,577,8.1
479,En un mundo mejor,Susanne Bier,2010,4.0,In a Better World,44716,Film,da,118,386,7.118
480,Mujeres en el Cairo,Yousry Nasrallah,2009,,"Scheherazade, Tell Me a Story",44096,Film,ar,134,24,6.771
481,Tapas,José Corbacho,2005,,Tapas,33227,Film,es,94,31,5.8
482,"Urte berri on, amona!",Telmo Esnal,2011,,"Happy New Year, Grandma!",126131,Film,es,107,2,6.5
483,Carmina o revienta,Paco León,2012,,Carmina or Blow Up,107916,Film,es,71,81,6.3
484,Confidencias muy íntimas,Patrice Leconte,2004,,Intimate Strangers,21200,Film,fr,104,62,6.29
485,"Dos días, una noche",Jean-Pierre Dardenne,2014,4.0,"Two Days, One Night",221902,Film,fr,95,872,6.918
486,Chicago Cab,Mary Cybulski,1998,,Chicago Cab,116008,Film,en,96,14,5.3
487,La dama de hierro,Phyllida Lloyd,2011,,The Iron Lady,71688,Film,en,105,1642,6.37
488,Pride,Matthew Warchus,2014,,Pride,234200,Film,en,120,1239,7.7
489,Whiplash,Damien Chazelle,2014,,Whiplash,244786,Film,en,107,14324,8.383
490,Lejos del cielo,Todd Haynes,2002,,Far from Heaven,10712,Film,en,107,566,7.0
491,La isla mínima,Alberto Rodriguez,2014,,Marshland,236735,Film,es,105,913,7.045
492,Touch of Sin,Jia Zhang Ke,2013,,A Touch of Sin,187022,Film,zh,131,295,7.239
493,Juntos,Lukas Moodysson,2000,,Together,742,Film,sv,106,218,6.968
494,Butch Cassidy And The Sundance Kid,George Roy Hill,1969,5.0,Butch Cassidy and the Sundance Kid,642,Film,en,111,2040,7.607
495,Séraphine,Martin Provost,2009,,Séraphine,14415,Film,fr,125,107,6.776
496,Birdman,Alejandro G. Iñarritu,2014,,Birdman or (The Unexpected Virtue of Ignorance),194662,Film,en,120,12361,7.467
497,La sal de este mar,Annemarie Jacir,2008,,Salt of This Sea,8932,Film,ar,109,19,6.079
498,El impostor,Bart Layton,2012,,The Imposter,84287,Documentary,en,99,693,7.338
499,Orfeo Negro,Marcel Camus,1959,,Black Orpheus,40423,Film,pt,100,192,7.01
500,Jiro Dreams of Sushi,David Gelb,2012,,Jiro Dreams of Sushi,80767,Documentary,ja,82,661,7.8
501,Lo que hacemos en las sombras,Jemaine Clement,2014,,What We Do in the Shadows,246741,Film,en,86,3332,7.6
502,Boyhood,Richard Linklater,2014,4.0,Boyhood,85350,Film,en,166,4922,7.507
503,Lugares comunes,Adolfo Aristarain,2002,5.0,Common Ground,32546,Film,es,110,26,7.6
504,Milk,Noemí Weis,2015,,Milk,463568,Documentary,en,91,1,5.0
505,Persepolis,Vincent Paronnaud,2007,,Persepolis,2011,Film,fr,95,1827,7.907
506,Una segunda madre,Anna Muylaert,2015,4.0,The Second Mother,310569,Film,pt,112,689,8.035
507,Mandarinas,Zaza Urushadze,2013,4.0,Tangerines,238628,Film,et,87,476,7.682
508,Los caballos de dios,Nabil Ayouch,2012,,Horses of God,134908,Film,fr,115,47,7.3
509,Adaptation (El ladrón de orquídeas),Spike Jonze,2002,,Adaptation.,2757,Film,en,115,2315,7.375
510,Un hombre soltero,Tom Ford,2009,,A Single Man,34653,Film,en,97,1464,7.288
511,Winter Sleep,Nuri Bilge Ceylan,2014,,Winter Sleep,265169,Film,tr,196,504,7.594
512,Sensitive. The Untold Story,Will Harper,2015,4.0,Sensitive: The Untold Story,447044,Documentary,en,63,4,6.3
513,El abuelo,José Luis Garci,1998,,The Grandfather,69851,Film,es,151,34,6.6
514,Underground,Emir Kusturica,1995,,Underground,11902,Film,sr,170,617,7.761
515,El cielo sobre Berlín,Wim Wenders,1987,,Wings of Desire,144,Film,de,128,1204,7.773
516,Bienvenidos al norte,Dany Boon,2008,,Welcome to the Sticks,8265,Film,fr,106,2336,6.677
517,Un día perfecto,Fernando León De Aranoa,2015,,A Perfect Day,321751,Film,en,106,586,6.652
518,Clerks,Kevin Smith,1994,,Clerks,2292,Film,en,92,2344,7.416
519,Vivir es fácil con los ojos cerrados,David Trueba,2013,4.0,Living Is Easy with Eyes Closed,209415,Film,es,108,154,6.773
520,Los falsificadores,Stefan Ruzowitzky,2008,5.0,The Counterfeiters,7862,Film,de,98,576,7.365
521,La academia de las musas,José Luis Guerin,2015,5.0,The Academy of Muses,353793,Film,es,92,11,6.7
522,Una pastelería en Tokio,Naomi Kawase,2015,4.0,Sweet Bean,319373,Film,ja,113,491,7.457
523,Los descendientes,Alexander Payne,2012,,The Descendants,65057,Film,en,115,2632,6.832
524,Taxi Teheran,Jafar Panahi,2015,,Taxi,320006,Film,fa,82,395,7.053
525,7 días en La Habana,Laurent Cantet,2012,,7 Days in Havana,94904,Film,es,129,97,5.758
526,Cookie´s Fortune,Robert Altman,1999,,Cookie's Fortune,9465,Film,en,118,157,6.4
527,Gomorra,Mateo Garrone,2008,,Gomorrah,8882,Film,it,136,1149,6.877
528,Paulina,Santiago Mitre,2015,5.0,Paulina,336664,Film,es,103,47,6.372
529,Spotlight,Thomas Mccarthy,2015,4.0,Spotlight,314365,Film,en,129,7903,7.817
530,Sicario,Denis Villeneuve,2015,,Sicario,273481,Film,en,122,8062,7.392
531,La soledad del corredor de fondo,Tony Richardson,1962,,The Loneliness of the Long Distance Runner,16103,Film,en,104,135,7.152
532,La novia,Paula Ortiz,2015,,The Bride,350849,Film,es,93,95,6.732
533,Mother,Bong Joon-ho,2009,,Mother,698885,Documentary,en,20,2,8.0
534,El club,Pablo Larrain,2015,,The Club,319995,Film,es,97,245,6.831
535,Siempre Alice,Richard Glatzer,2014,,Still Alice,284293,Film,en,100,2932,7.501
536,A cambio de nada,Daniel Guzmán,2015,,Nothing in Return,326198,Film,es,97,139,6.396
537,12 años de esclavitud,Steve Mcqueen,2013,,12 Years a Slave,76203,Film,en,134,10829,7.945
538,Dheepan,Jacques Audiard,2015,,Dheepan,314402,Film,fr,115,435,6.848
539,The Imitation Game,Morten Tyldum,2014,,The Imitation Game,205596,Film,en,113,16309,8.006
540,La red social,David Fincher,2010,,The Social Network,37799,Film,en,121,11484,7.4
541,Samaritan Girl,Kim Ki-duk,2004,,Samaritan Girl,1279,Film,ko,95,190,6.937
542,Carol,Todd Haynes,2015,,Carol,258480,Film,en,118,3527,7.496
543,Me and Earl and the Dying Girl,Alfonso Gómez-Rejón,2015,,Me and Earl and the Dying Girl,308369,Film,en,105,2455,7.5
544,El olivo,Iciar Bollaín,2016,,The Olive Tree,366505,Film,es,96,125,6.672
545,El hijo de Saúl,Laszlo Nemes,2015,,Son of Saul,336050,Film,hu,107,1001,7.147
546,Truman,Cesc Gay,2015,4.0,Truman,341744,Film,es,105,358,7.006
547,B (Bárcenas),David Ilundain,2015,4.0,B,346352,Film,es,80,22,6.9
548,Nadie quiere la noche,Isabel Coixet,2015,,Endless Night,320004,Film,en,104,46,6.0
549,Amama,Asier Altuna,2015,4.0,Amama,351095,Film,eu,103,12,6.2
550,Born to be Blue,Robert Budreau,2015,4.0,Born to Be Blue,327528,Film,en,97,194,6.577
551,Return to Homs,Talal Derki,2013,,Return to Homs,238561,Documentary,en,87,67,6.7
552,Breakfast at Tiffany´s,Blake Edwards,1961,,Breakfast at Tiffany's,164,Film,en,115,3984,7.7
553,Difret,Zeresenay Mehary,2014,,Difret,245855,Film,am,96,54,6.2
554,Miles Ahead,Don Cheadle,2016,,Miles Ahead,316000,Film,en,100,211,6.479
555,"Amy, la chica detrás del nombre",Asif Kapadia,2015,,Amy,331781,Documentary,en,128,1137,7.597
556,Citizenfour,Laura Poitras,2014,,Citizenfour,293310,Documentary,en,114,1222,7.741
