date,title,director,year,stars
2012-01-22,Sólo los ángeles tienen alas,Howard Hawks,1939,4
2012-01-28,No habrá paz para los malvados,Enrique Urbizu,2011,4
2012-01-29,Gilda,Charles Vidor,1946,
2012-01-30,Touch of Evil (Sed de mal),Orson Welles,1958,4
2012-02-04,Río Bravo,Howard Hawks,1959,
2012-02-05,Stagecoach (La diligencia),John Ford,1939,
2012-02-06,Jeremiah Johnson,Sydney Pollack,1972,
2012-02-10,Melancolía,Lars Von Trier,2011,4
2012-02-11,The Tree of Life,Terrence Malick,2011,5
2012-02-12,La piel que habito,Pedro Almodóvar,2011,
2012-02-17,Inside Job,Charles Ferguson,2010,
2012-02-18,The King´s Speech,Tom Hooper,2010,4
2012-02-19,French cancan,Jean Renoir,1955,
2012-02-24,Another Year,Mike Leigh,2010,
2012-02-25,Secrets & Lies,Mike Leigh,1996,
2012-02-26,Midnight in Paris,Woody Allen,2011,
2012-03-02,Whatever Works,Woody Allen,2009,
2012-03-03,Manhattan,Woody Allen,1979,
2012-03-04,Crimes and Misdemeanors,Woody Allen,1989,
2012-03-08,The Big Lebowski,Coen,1998,4
2012-03-09,"Nader y Simin, una separación",Asghar Farhadi,2011,4
2012-03-10,Hannah and Her Sisters,Woody Allen,1986,
2012-03-11,Ed Wood,Tim Burton,1994,4
2012-03-17,Monty Python and the Holy Grail,Terry Jones,1975,
2012-03-23,Four Lions,Chris Morris,2010,
2012-03-24,Mi tío,Jacques Tati,1958,4
2012-03-29,Sabrina,Billy Wilder,1954,
2012-03-30,Le Havre,Aki Kaurismäki,2011,4
2012-04-01,Les vacances de M. Hulot,Jacques Tati,1953,
2012-04-05,El sabor del sake,Yasujiro Ozu,1962,
2012-04-06,Los siete samuráis,Akira Kurosawa,1954,
2012-04-07,Los 400 golpes,François Truffaut,1959,4
2012-04-08,"Hiroshima, mon amour",Alain Resnais,1959,
2012-04-09,Plan 9 From Outer Space,Ed. Wood,1959,
2012-04-12,Ikiru,Akira Kurosawa,1952,4
2012-04-15,El General de la Rovere,Roberto Rossellini,1959,4
2012-04-15,The Dead,John Huston,1987,
2012-04-17,"Francisco, juglar de Dios",Roberto Rossellini,1950,
2012-04-20,The Artist,Michel Hazanavicius,2011,
2012-04-21,Moby Dick,John Huston,1956,
2012-04-23,Blue Velvet,David Lynch,1986,
2012-04-25,Pather Panchali (Apu Trilogy 1),Satyajit Ray,1955,5
2012-04-27,Le gamin au vélo,Jean-Pierre Dardenne,2011,4
2012-04-28,El año pasado en Marienbad,Alain Resnais,1961,
2012-05-01,Los olvidados,Luis Buñuel,1950,
2012-05-04,Aparajito (Apu Trilogy 2),Satyajit Ray,1957,5
2012-05-05,El niño,Jean-Pierre Dardenne,2005,
2012-05-11,13 asesinos,Takashi Miike,2010,
2012-05-12,Apur Sansar (Apu Trilogy 3),Satyajit Ray,1959,
2012-05-15,Dersu Uzala,Akira Kurosawa,1975,
2012-05-18,I´m not there,Todd Haynes,2007,
2012-05-19,The Straight story,David Lynch,1999,
2012-05-26,The Picture of Dorian Gray,Albert Lewin,1945,
2012-06-03,The Fortune Cookie,Billy Wilder,1966,
2012-06-24,The Professionals,Richard Brooks,1966,
2012-06-15,The Thin Red Line,Terrence Malick,1998,5
2012-06-28,El hundimiento,Oliver Hirschbiegel,2004,
2012-06-29,Badlands,Terrence Malick,1973,4
2012-07-12,Caro Diario,Nanni Moretti,1993,4
2012-07-13,Milagro en Milán,Vittorio De Sica,1951,
2012-07-14,Utamaro y sus cinco mujeres,Kenji Mizoguchi,1946,
2012-07-15,La gran ilusión,Jean Renoir,1937,
2012-07-20,Limelight (Candilejas),Charlie Chaplin,1952,
2012-07-22,El salario del miedo,Henri-Georges Clouzot,1953,
2012-07-27,Une partie de campagne (A Day in the Country),Jean Renoir,1946,
2012-07-28,The Great Dictator,Charlie Chaplin,1940,
2012-07-29,El séptimo sello,Ingmar Bergman,1957,
2012-07-31,My Fair Lady,George Cukor,1964,4
2012-08-03,The Kid,Charlie Chaplin,1921,
2012-08-04,Mogambo,John Ford,1953,
2012-08-06,The Lady from Shanghai,Orson Welles,1947,4
2012-08-07,Les enfants du paradis,Marcel Carné,1945,
2012-08-09,Mientras duermes,Jaume Balagueró,2011,
2012-08-10,8 1/2,Federico Fellini,1963,
2012-08-13,The Night of the Iguana,John Huston,1964,
2012-08-15,"M, El vampiro de Dusseldorf",Fritz Lang,1931,
2012-08-18,El pisito,Marco Ferreri,1959,
2012-08-19,Calle Mayor,Juan Antonio Bardem,1956,
2012-08-20,Muerte de un ciclista,Juan Antonio Bardem,1955,
2012-08-21,Historias de la radio,José L. Sáenz De Heredia,1955,
2012-08-22,Abril,Nanni Moretti,1998,
2012-08-23,Calabuch,Luis G. Berlanga,1956,
2012-08-24,Los jueves milagro,Luis G. Berlanga,1957,
2012-08-26,Manhattan Murder Mystery,Woody Allen,1993,
2012-08-26,El apartamento,Billy Wilder,1960,5
2012-08-28,Ojos negros,Nikita Mijalkov,1987,
2012-08-30,El cochecito,Marco Ferreri,1960,
2012-09-07,Surcos,José A. Nieves Conde,1951,
2012-09-08,La tía Tula,Miguel Picazo,1964,
2012-09-09,Vida en sombras,Lorenzo Llobet Gràcia,1949,
2012-09-14,Las Hurdes (Tierra sin pan),Luis Buñuel,1933,
2012-09-15,Las verdes praderas,José Luis Garci,1979,
2012-09-16,La torre de los siete jorobados,Edgar Neville,1944,
2012-09-21,El camino a casa,Zhang Yimou,1999,
2012-09-23,El viaje a ninguna parte,Fernando Fernan Gómez,1986,
2012-09-28,Moonrise Kingdom,Wes Anderson,2012,
2012-09-29,Sorgo rojo (Red Sorghum),Zhang Yimou,1988,
2012-09-30,El extraño viaje,Fernando Fernan Gómez,1964,
2012-10-06,September,Woody Allen,1987,
2012-10-07,El discreto encanto de la burguesía,Luis Buñuel,1972,4
2012-10-11,Todo lo que quiso saber sobre el sexo,Woody Allen,1972,
2012-10-12,No tengas miedo,Montxo Armendáriz,2011,
2012-10-13,Ese oscuro objeto del deseo,Luis Buñuel,1977,
2012-10-14,Nazarín,Luis Buñuel,1959,
2012-10-19,Las cartas de Alou,Montxo Armendáriz,1990,
2012-10-20,Alice,Woody Allen,1990,
2012-10-27,Las acacias,Pablo Giorgelli,2011,4
2012-10-28,Rumble Fish,Francis Ford Coppola,1983,5
2012-10-31,Sleeper,Woody Allen,1973,
2012-11-01,Zelig,Woody Allen,1983,
2012-11-02,El bosque animado,José Luis Cuerda,1987,
2012-11-03,The Hustler,Robert Rossen,1961,5
2012-11-09,Kiseki (Milagro),Hirokazu Kore-Eda,2011,
2012-11-10,Comedia sexual de una noche de verano (A Midsummer Night's Sex Comedy),Woody Allen,1982,
2012-11-11,Radio Days,Woody Allen,1987,
2012-11-16,Bananas,Woody Allen,1971,
2012-11-18,La rosa púrpura de El Cairo,Woody Allen,1985,
2012-11-23,La maldición del escorpión de Jade,Woody Allen,2001,
2012-11-24,Memorias del subdesarrollo,Tomás Gutiérrez Alea,1968,
