date,title,director,year,stars
2015-02-08,Naufragio,Pedro Aguilera,2011,
2015-02-13,Magical Girl,Carlos Vermut,2014,
2015-02-21,Carmina y amén,Paco León,2014,
2015-02-27,La sal de la tierra,Wim Wenders,2014,
2015-02-28,En un mundo mejor,Susanne Bier,2010,4
2015-03-01,Mujeres en el Cairo,Yousry Nasrallah,2009,
2015-03-06,Tapas,José Corbacho,2005,
2015-03-07,"Urte berri on, amona!",Telmo Esnal,2011,
2015-03-09,Carmina o revienta,Paco León,2012,
2015-03-15,Confidencias muy íntimas,Patrice Leconte,2004,
2015-03-20,"Dos días, una noche",Jean-Pierre Dardenne,2014,4
2015-04-02,Chicago Cab,Mary Cybulski,1998,
2015-04-05,La dama de hierro,Phyllida Lloyd,2011,
2015-04-17,Pride,Matthew Warchus,2014,
2015-04-24,Whiplash,Damien Chazelle,2014,
2015-05-16,Lejos del cielo,Todd Haynes,2002,
2015-05-23,La isla mínima,Alberto Rodriguez,2014,
2015-05-29,Touch of Sin,Jia Zhang Ke,2013,
2015-06-05,Juntos,Lukas Moodysson,2000,
2015-06-19,Butch Cassidy And The Sundance Kid,George Roy Hill,1969,5
2015-06-20,Séraphine,Martin Provost,2009,
2015-06-27,Birdman,Alejandro G. Iñarritu,2014,
2015-07-04,La sal de este mar,Annemarie Jacir,2008,
2015-07-05,El impostor,Bart Layton,2012,
2015-08-13,Orfeo Negro,Marcel Camus,1959,
2015-09-05,Jiro Dreams of Sushi,David Gelb,2012,
2015-09-25,Lo que hacemos en las sombras,Jemaine Clement,2014,
2015-10-02,Boyhood,Richard Linklater,2014,4
2015-10-03,Lugares comunes,Adolfo Aristarain,2002,5
2015-10-16,Milk,Noemí Weis,2015,
2015-10-17,Persepolis,Vincent Paronnaud,2007,
2015-10-23,Una segunda madre,Anna Muylaert,2015,4
2015-11-27,Mandarinas,Zaza Urushadze,2013,4
2015-12-11,Los caballos de dios,Nabil Ayouch,2012,
2015-12-24,Adaptation (El ladrón de orquídeas),Spike Jonze,2002,
2015-12-25,Un hombre soltero,Tom Ford,2009,
2015-12-26,Winter Sleep,Nuri Bilge Ceylan,2014,
2015-12-30,Sensitive. The Untold Story,Will Harper,2015,4
2016-01-06,El abuelo,José Luis Garci,1998,
2016-01-07,Underground,Emir Kusturica,1995,
2016-01-08,El cielo sobre Berlín,Wim Wenders,1987,
2016-01-20,Bienvenidos al norte,Dany Boon,2008,
2016-01-29,Un día perfecto,Fernando León De Aranoa,2015,
2016-01-30,Clerks,Kevin Smith,1994,
2016-02-01,Vivir es fácil con los ojos cerrados,David Trueba,2013,4
2016-02-06,Los falsificadores,Stefan Ruzowitzky,2008,5
2016-02-12,La academia de las musas,José Luis Guerin,2015,5
2016-02-12,Una pastelería en Tokio,Naomi Kawase,2015,4
2016-02-21,Los descendientes,Alexander Payne,2012,
2016-02-26,Taxi Teheran,Jafar Panahi,2015,
2016-02-27,7 días en La Habana,Laurent Cantet,2012,
2016-03-04,Cookie´s Fortune,Robert Altman,1999,
2016-03-05,Gomorra,Mateo Garrone,2008,
2016-03-11,Paulina,Santiago Mitre,2015,5
2016-03-14,Spotlight,Thomas Mccarthy,2015,4
2016-03-18,Sicario,Denis Villeneuve,2015,
2016-03-19,La soledad del corredor de fondo,Tony Richardson,1962,
2016-03-20,La novia,Paula Ortiz,2015,
2016-03-25,Mother,Bong Joon-ho,2009,
2016-04-08,El club,Pablo Larrain,2015,
2016-04-10,Siempre Alice,Richard Glatzer,2014,
2016-04-15,A cambio de nada,Daniel Guzmán,2015,
2016-04-16,12 años de esclavitud,Steve Mcqueen,2013,
2016-04-22,Dheepan,Jacques Audiard,2015,
2016-04-23,The Imitation Game,Morten Tyldum,2014,
2016-04-29,La red social,David Fincher,2010,
2016-04-30,Samaritan Girl,Kim Ki-duk,2004,
2016-05-13,Carol,Todd Haynes,2015,
2016-05-27,Me and Earl and the Dying Girl,Alfonso Gómez-Rejón,2015,
2016-06-06,El olivo,Iciar Bollaín,2016,
2016-06-10,El hijo de Saúl,Laszlo Nemes,2015,
2016-06-24,Truman,Cesc Gay,2015,4
2016-06-25,B (Bárcenas),David Ilundain,2015,4
2016-06-26,Nadie quiere la noche,Isabel Coixet,2015,
2016-07-01,Amama,Asier Altuna,2015,4
2016-07-24,Born to be Blue,Robert Budreau,2015,4
2016-07-22,Return to Homs,Talal Derki,2013,
2016-07-24,Breakfast at Tiffany´s,Blake Edwards,1961,
2016-07-26,Difret,Zeresenay Mehary,2014,
2016-07-28,Miles Ahead,Don Cheadle,2016,
2016-08-07,"Amy, la chica detrás del nombre",Asif Kapadia,2015,
2016-09-03,Citizenfour,Laura Poitras,2014,
2016-09-25,El viento se levanta,Hayao Miyazaki,2013,
2016-09-30,Corazón gigante,Dagur Kari,2015,4
2016-10-07,El abrazo partido,Daniel Burman,2004,
2016-10-08,Leviatán,Andrey Zvyagintsev,2014,
2016-10-09,En tierra hostil,Kathryn Bigelow,2008,
2016-10-11,Un lugar donde quedarse,Sam Mendes,2009,
2016-10-12,María Estuardo,John Ford,1936,
2016-10-14,Theeb (Lobo),Naji Abu Nowar,2014,
2016-10-15,Astral,Jordi Évole,2016,
2016-10-28,45 años,Andrew Haigh,2015,5
2016-11-25,Les Cowboys,Thomas Bidegain,2015,4
2016-11-27,A Quiet Passion,Terence Davies,2016,4
2016-12-03,Requisitos para ser una persona normal,Leticia Dolera,2015,
2016-12-09,Mejor imposible,James L. Brooks,1997,
2016-12-16,Nuestra hermana pequeña,Hirokazu Kore-Eda,2015,
2016-12-18,The Remains of the Day,James Ivory,1993,
2016-12-25,The Quiet American,Philip Noyce,2002,4
2016-12-30,My Beautiful Laundrette,Stephen Frears,1985,
2017-02-05,Little Buddha,Bernardo Bertolucci,1993,
2017-02-10,Tarde para la ira,Raúl Arévalo,2016,
2017-02-17,El viaje de Chihiro,Hayao Miyazaki,2001,
2017-02-24,"I, Daniel Blake",Ken Loach,2016,
2017-03-17,La estación de las mujeres,Leena Yadav,2015,
2017-03-26,La La Land,Damien Chazelle,2016,5
2017-03-17,Cuando tienes 17 años,André Téchiné,2016,
2017-04-01,La vida de Calabacín,Claude Barras,2016,
2017-04-07,La chica danesa,Tom Hooper,2015,
2017-04-09,Regreso a Ítaca,Laurent Cantet,2014,
2017-04-13,El loco del pelo rojo,Vincente Minnelli,1956,
2017-04-16,La fuerza del cariño,James L. Brooks,1983,
2017-04-21,Neruda,Pablo Larrain,2016,
2017-04-28,Elle,Paul Verhoeven,2016,
2017-04-30,Negación,Mick Jackson,2016,
2017-05-01,El abrazo de la serpiente,Ciro Guerra,2016,
2017-05-05,La fiesta de despedida,Sharon Maymon,2014,
2017-05-06,Lady Macbeth,William Oldroyd,2016,
2017-05-19,Mademoiselle,Park Chan-Wook,2016,
2017-05-20,Mr. Kaplan,Álvaro Brechner,2014,
2017-06-02,Las vidas de Grace (Short Term 12),Destin Cretton,2013,
2017-06-03,Big,Penny Marshall,1988,
2017-06-11,Marie Curie,Marie-Noëlle Sehr,2016,
2017-07-24,El ciudadano ilustre,Gastón Duprat,2016,4
2017-07-25,Relatos salvajes,Damián Szifrón,2014,
2017-07-28,Mommy,Xavier Dolan,2014,
2017-07-30,La mejor oferta,Giuseppe Tornatore,2013,
2017-07-31,Timbuktu,Abderrahmane Sissako,2014,
2017-08-04,Gigante,Adrian Biniez,2009,
2017-08-06,The Trip,Michael Winterbottom,2010,
2017-08-08,Los caballeros blancos,Joachim Lafosse,2015,
2017-08-10,Anomalisa,Charlie Kaufman,2015,
2017-08-12,Gandhi,Richard Attenborough,1982,
2017-08-13,Con la pata quebrada,Diego Galán,2013,
2017-08-14,Sparrows,Runar Runarsson,2015,4
2017-08-16,"Taro, el eco de César Manrique",Miguel G. Morales,2012,
2017-08-17,Marina Abramovich,Matthew Akers,2013,
2017-08-19,Mapa,Elías León Siminiani,2012,
2017-08-20,Lisboa Story,Wim Wenders,1994,
2017-08-25,InnSaei,Kristin Olafsdottir,2016,
2017-08-27,Mystery Train,Jim Jarmusch,1989,
2017-08-29,Frágil equilibrio,Guillermo García López,2016,
2017-08-30,Los amantes del Pont Neuf,Leox Carax,1991,
2017-09-15,Inside Out,Pete Docter,2015,
2017-09-29,Verano de 1993,Carla Simón,2017,4
2017-10-06,Paterson,Jim Jarmusch,2016,5
2017-10-07,Manchester by the sea,Kenneth Lonergan,2016,
2017-10-08,La chica desconocida,Jean-Pierre Dardenne,2016,
2017-10-21,Handia,Jon Garaño,2017,
2017-10-27,El viajante,Asghar Farhadi,2017,
2017-11-10,Rosalie Blum,Julien Rappeneau,2015,
2017-11-11,Life Aquatic,Wes Anderson,2005,
2017-11-17,La llegada,Denis Villeneuve,2016,
2017-11-18,Mustang,Deniz G. Ergüven,2015,
2017-11-24,El otro lado de la esperanza,Aki Kaurismäki,2017,
2017-11-25,Rams,Grímur Hakonarson,2015,
2017-12-02,The Lobster,Giorgo Lanthimos,2015,
2017-12-03,David Lynch: The Art Life,Jon Nguyen,2017,
2017-12-08,Fuego en el mar,Gianfranco Rosi,2016,
2017-12-09,Tribunal,Chaitanya Tamhane,2014,4
2017-12-15,Loving,Jeff Nichols,2016,
2017-12-16,Eden,Mia Hansen-Love,2014,5
2017-12-22,La invitación,Karyn Kusama,2015,5
2017-12-23,El hombre de las mil caras,Alberto Rodriguez,2016,
2017-12-28,Jackie,Pablo Larrain,2016,
2017-12-30,Pelo malo,Mariana Rondón,2013,
2018-01-02,Captain Fantastic,Matt Ross,2016,
2018-01-04,"Right Now, Wrong Then",Sang-soo Hong,2015,5
2018-01-06,Yourself and Yours,Sang-soo Hong,2016,5
2018-01-07,Renoir,Gilles Bourdos,2012,
2018-01-08,La librería,Isabel Coixet,2017,
2018-01-12,In Another Country,Sang-soo Hong,2012,
2018-01-13,Victoria,Sebastian Schipper,2015,
2018-01-15,Perfectos desconocidos,Alex De La Iglesia,2017,
2018-01-16,I Am Not Your Negro,Raoul Peck,2017,
2018-01-19,Dunkerque,Christopher Nolan,2017,
2018-01-20,El estudiante,Santiago Mitre,2011,
2018-01-21,Princesa,Lee Su-jin,2013,
2018-01-26,Un minuto de gloria,Kristina Gorzeva,2016,
2018-01-28,Irrational Man,Woody Allen,2015,
2018-02-01,No Direction Home,Martin Scorsese,2005,
2018-02-03,La camarera Lynn,Ingo Haeb,2014,
2018-02-04,Blue Jasmine,Woody Allen,2013,
2018-02-09,El autor,Manuel Martín Cuenca,2017,5
2018-02-10,El porvenir,Mia Hansen-Love,2016,4
2018-02-11,La tortuga roja,Michael Dudok De Wit,2016,
2018-02-16,Tres anuncios en las afueras,Martin Mcdonagh,2017,
2018-02-23,El sacrificio de un ciervo sagrado,Giorgo Lanthimos,2017,
2018-02-24,80 egunean,Jon Garaño,2010,
2018-02-25,Personal Shopper,Olivier Assayas,2016,
2018-03-01,Últimos días en el desierto,Rodrigo García,2016,
2018-03-03,Jack Goes Boating,Philip Seymour Hoffman,2010,
2018-03-05,Errementari,Paul Urquijo,2017,
2018-03-09,El seductor,Sofia Coppola,2017,
2018-03-12,La profesora de parvulario,Nadav Lapid,2014,
2018-03-16,El cartero de las noches blancas,Andrei Konchalovsky,2014,
2018-03-18,La forma del agua,Guillermo del Toro,2018,
2018-03-23,The Square,Ruben Östlund,2017,5
2018-03-25,Un tipo serio,Coen,2009,
2018-03-29,Air Doll,Hirokazu Kore-Eda,2009,
2018-04-06,Fuerza mayor,Ruben Östlund,2014,5
2018-04-13,Alanis,Anahí Berneri,2017,
2018-04-14,Recuerdos del ayer,Isao Takahata,1991,
2018-04-15,El secreto de Esma,Jasmila Zbanic,2006,
2018-04-22,El amante doble,François Ozon,2017,
2018-04-28,Wakolda,Lucía Puenzo,2013,
2018-04-29,La segunda mujer,Umut Dag,2012,
2018-05-01,The Lady in the Van,Nicholas Hytner,2015,
2018-05-05,Locke,Steven Knight,2013,
2018-05-07,Campeones,Javier Fesser,2018,
2018-05-18,120 latidos por minuto,Robin Campillo,2017,
2018-05-19,Siempre feliz,Anne Sewitsky,2010,4
2018-05-20,Hacia la luz,Naomi Kawase,2017,
2018-05-25,El insulto,Ziad Doueiri,2017,
2018-05-27,"De tal padre, tal hijo",Hirokazu Kore-Eda,2013,
2018-06-02,"En realidad, nunca estuviste aquí",Lynne Ramsay,2018,
2018-06-05,El bar,Alex De La Iglesia,2017,
2018-06-08,"Oslo, 31 de agosto",Joachim Trier,2011,5
2018-06-29,El amor es más fuerte que las bombas,Joachim Trier,2015,
2018-06-30,The Disaster Artist,James Franco,2017,4
2018-07-01,En la playa sola de noche,Sang-soo Hong,2017,
2018-07-28,A cielo abierto,Mariana Otero,2014,
2018-07-29,Después de la tormenta,Hirokazu Kore-Eda,2016,
2018-07-31,Calvary,John Michael Mcdonagh,2014,
2018-08-10,Kedi (Gatos de Estambul),Ceyda Torun,2016,
2018-08-14,Into the Wild,Sean Penn,2007,
2018-08-19,El tercer asesinato,Hirokazu Kore-Eda,2017,
2018-08-24,The Way,Emilio Estévez,2010,
2018-10-13,Tres en el Camino,Laurence Boulting,2004,
2018-10-19,El hilo invisible,Paul Thomas Anderson,2017,5
2018-10-26,Custodia compartida,Xavier Legrand,2017,
2018-10-27,El festín de Babette,Gabriel Axel,1987,4
2018-10-28,Ficción,Cesc Gay,2006,
2018-10-31,Five days to dance,Rafa Molés,2014,
2018-11-01,Que dios nos perdone,Rodrigo Sorogoyen,2016,
2018-11-09,Lucky,John Carroll Lynch,2017,
2018-11-10,The Florida Project,Sean Baker,2017,
2018-11-11,Call Me By Your Name,Luca Guadagnino,2017,
2018-11-16,Thelma,Joachim Trier,2017,4
2018-11-17,Tomboy,Céline Sciamma,2011,4
2018-11-23,"Visages, villages",Agnès Varda,2017,5
2018-11-24,El taller de escritura,Laurent Cantet,2017,
2018-11-25,La chica dormida,Rosemary Myers,2015,
2018-11-30,Declaración de guerra,Valérie Donzelli,2011,
2018-12-01,Tenemos de hablar de Kevin,Lynne Ramsay,2011,
2018-12-02,Amante por un día,Philippe Garrel,2017,
2018-12-06,Heartstone,Arnar Guomundsson,2016,
2018-12-08,Mr. Turner,Mike Leigh,2014,
2018-12-09,Alma mater,Philippe van Leeuw,2017,
2018-12-14,Western,Valesa Grisebach,2017,
2018-12-15,Un día de furia,Joel Schumacher,1993,
2018-12-16,La cámara de Claire,Sang-soo Hong,2018,
2018-12-19,Una receta familiar,Eric Khoo,2018,
2018-12-28,The Leisure Seeker,Paolo Virzi,2017,
2018-12-29,Happy End,Michael Haneke,2017,
2018-12-30,Francofonia,Alexandr Sokurov,2015,
2019-01-01,Hermosa juventud,Jaime Rosales,2014,
2019-01-04,Petra,Jaime Rosales,2018,
2019-01-05,Mapa de los sonidos de Tokio,Isabel Coixet,2009,
2019-01-12,Comanchería,David Mackenzie,2016,
2019-01-18,Dolphin Man,Lefteris Charitos,2017,
2019-01-19,Isla de perros,Wes Anderson,2018,
2019-01-20,Lolo Rico: la mirada no inventada,Julio Suárez,2015,
2019-01-25,El reino,Rodrigo Sorogoyen,2018,4
2019-01-26,Goodbye Berlin (Tschick),Fatih Akin,2016,
2019-01-27,La ley del mercado,Stéphane Brizé,2015,5
2019-01-31,Un día más con vida,Raúl de la Fuente,2018,
2019-02-01,The End of the Tour,James Ponsoldt,2015,
2019-02-03,Paradiso,Omar A. Razzak,2014,
2019-02-08,The Party,Sally Potter,2017,
2019-02-09,Lady Bird,Greta Gerwig,2017,
2019-02-10,Deux Cancres,Ludovic Vieuille,2017,
2019-02-15,Cold War,Pawel Pawlikowski,2018,
2019-02-16,Ganar al viento,Anne-Dauphine Julliand,2016,
2019-02-17,El camino más largo para volver a casa,Sergi Pérez,2015,
2019-02-22,Un asunto de familia,Hirokazu Kore-Eda,2018,
2019-02-24,Frank,Lenny Abrahamson,2014,
2019-02-28,Jainkoak ez dit barkatzen,Josu Martínez,2018,
2019-03-02,Lean On Pete,Andrew Haigh,2017,
2019-03-08,Viaje al cuarto de una madre,Celia Rico,2018,4
2019-03-09,Las normas de la casa de la sidra,Lasse Hallström,1999,
2019-03-10,Aquí y allá,Antonio Méndez Esparza,2012,
2019-03-17,Pelle el conquistador,Bille August,1987,
2019-03-22,The Rider,Chloé Zhao,2017,
2019-03-29,Bienvenida a Montparnasse,Léonor Serraille,2017,
2019-04-04,Mudar la piel,Ana Schulz,2018,
2019-04-05,La isla de los monjes,Anne Christine Girardot,2017,4
2019-04-06,María (y los demás),Nely Reguera,2016,
2019-04-18,No estoy hecho para ser amado,Stéphane Brizé,2005,
2019-04-26,Lázaro feliz,Alice Rohrwacher,2018,
2019-05-06,Dolor y gloria,Pedro Almodóvar,2019,
2019-05-24,Girl,Lukas Dhont,2018,5
2019-05-25,Futuro perfecto,Nele Wohlatz,2016,
2019-05-26,Lyubov: Love in Russian,Julen Staffan,2017,4
2019-06-01,Los hermanos Sisters,Jacques Audiard,2018,
2019-06-21,Carmen y Lola,Arantxa Echevarría,2018,
2019-06-22,Toy Story 4,Josh Cooley,2019,
2019-06-29,Oreina,Koldo Almandoz,2018,
2019-06-30,Entre dos aguas,Isaki Lacuesta,2018,4
2019-07-05,Tres caras,Jafar Panahi,2018,
2019-07-06,Dogman,Matteo Garrone,2018,
2019-07-14,Of Fathers and Sons,Talal Derki,2017,
2019-07-20,Mi obra maestra,Gastón Duprat,2018,
2019-07-21,Las distancias,Elena Trapé,2018,
2019-07-24,El león duerme esta noche,Nobuhiro Suwa,2018,
2019-07-27,La novia del desierto,Cecilia Atán,2017,
2019-08-09,Tully,Jason Reitman,2018,
2019-08-16,Revolutionary Road,Sam Mendes,2008,
2019-09-06,Orlando,Sally Potter,1993,4
2019-09-14,El cuento de las comadrejas,Juan José Campanella,2019,
2019-09-14,La lección,Kristina Grozeva,2014,
2019-09-27,Los días que vendrán,Carlos Marques,2019,
2019-10-11,Cafarnaum,Nadine Labaki,2019,
2019-10-13,Mientras dure la guerra,Alejandro Amenábar,2019,
2019-10-20,The Breadwinner,Nora Twomey,2017,
2019-10-25,Las herederas,Marcelo Martinessi,2018,
2019-11-04,La trinchera infinita,Jon Garaño,2019,
201911-10,Joker,Todd Phillips,2019,
2019-11-15,La última lección,Sébastien Marnier,2018,
2019-11-22,Pájaros de verano,Cristina Gallego,2018,
2019-11-29,La caída del imperio americano,Denys Arcand,2019,
2019-11-30,"Muchos hijos, un mono y un castillo",Gustavo Salmerón,2017,
2019-12-01,Varda por Agnès,Agnès Varda,2019,
2019-12-07,Rebeca,Alfred Hitchcock,1940,
2019-12-13,Bar Bahar,Maysaloun Hamoud,2016,
2019-12-14,Locas de alegría,Paolo Virzi,2016,
2019-12-20,El irlandés,Martin Scorsese,2019,5
2019-12-21,Border,Ali Abbasi,2018,
2019-12-25,En busca del Óscar,Octavio Guerra,2018,4
2020-01-01,Trinta lumes,Diana Toucedo,2017,
2020-01-11,El sirviente,Joseph Losey,1963,
2020-01-17,Ventajas de viajar en tren,Aritz Moreno,2019,
2020-01-23,Amazing Grace,Aretha Franklin,2019,
2020:01-26,1917,Sam Mendes,2019,4
2020-01-31,O que arde,Oliver Laxe,2019,
2020-02-01,Cantábrico,Joaquín Gutiérrez Acha,2017,
2020-02-07,Un doctor en la campiña,Thomas Lilti,2016,
2020-02-08,Hipócrates,Thomas Lilti,2014,
2020-02-14,Historia de un matrimonio,Noah Baumbach,2019,
2020-02-15,Memento mori,Richard Zubelzu,2019,
2020-02-20,Notes on Blindness,Pete Middleton,2019,
2020-02-22,La tumba de las luciérnagas,Isao Takahata,2003,
2020-02-23,Hitchcock/Truffaut,Kent Jones,2016,
2020-02-28,Parásitos,Joon-ho Bong,2019,
2020-02-29,Wendy&Lucy,Kelly Reichardt,2008,5
2020-03-01,Old Joy,Kelly Reichardt,2006,5
2020-03-16,El amor menos pensado,Juan Vera,2018,
2020-03-20,Barbara,Christian Petzold,2012,
2020-03-21,Una mujer fantástica,Sebastián Leilo,2017,
2020-03-28,Amerikanuak,Nacho Reig,2010,
2020-04-03,When Tomatoes Met Wagner,Marianna Economou,2019,5
2020-04-04,The Rise of Jordan Peterson,Patricia Marcoccia,2019,
2020-04-11,Enemy,Denis Villeneuve,2013,
2020-04-17,Finding Vivian Maier,John Maloof,2014,4
2020-04-18,El somni,Christophe Farnarier,2008,
2020-04-19,Free Solo,Jimmy Chin,2018,
2020-05-10,Lázaro de Tormes,Fernando Fernán Gómez,2001,
2020-05-15,Diario de una camarera,Luis Buñuel,1964,
2020-05-16,El último verano,Leire Apellaniz,2016,
2020-05-23,El inadaptado,Jens Lien,2006,
2020-05-31,Los viajes de Sullivan,Preston Sturges,1941,
2020-06-06,Nomad,Werner Herzog,2019,4
2020-08-01,Los exámenes,Cristian Mungiu,2016,
2020-09-18,Les Misérables,Ladj Ly,2019,
2020-10-03,Akelarre,Pablo Agüero,2020,
2020-10-09,Retrato de una mujer en llamas,Céline Sciamma,2019,4
2020-10-15,Honeyland,Tamara Kotevska,2019,
2020-10-17,Rifkin’s Festival,Woody Allen,2020,
2020-10-23,Sorry We Missed You,Ken Loach,2019,
2020-10-30,Las niñas,Pilar Palomero,2020,
2020-11-13,"Papicha, sueños de libertad",Mounia Meddour,2019,
2020-11-19,"Hi, AI",Isa Willinger,2019,
2020-11-27,Temblores,Jayro Bustamante,2020,
2020-12-11,Sin señas particulares,Fernanda Valadez,2020,
2020-12-17,Meseta,Juan Palacios,2019,
2021-01-21,Josep,Aurel,2020,
2021-02-19,Deseando amar,Wong Kar-wai,2000,
2021-02-26,Para Sama,Waad Al-Kateab,2019,
2021-03-04,Volver a empezar (Herself),Phyllida Lloyd,2020,
2021-03-20,La Haine (El odio),Mathieu Kassovitz,1995,
2021-03-26,Kajillionaire,Miranda July,2020,
2021-04-05,Nomadland,Chloé Zhao,2020,5
2021-04-15,Una niña,Sébastien Lifshitz,2020,
2021-04-23,Falling,Vigo Mortensen,2020,
2021-05-09,Memories of Murder,Joon-ho Bong,2003,
2021-05-27,Otra ronda (Another Round),Thomas Vinterberg,2020,5
2021-09-24,Maixabel,Iciar Bollaín,2021,
2021-10-22,First Cow,Kelly Reichardt,2019,4
2021-11-04,Zumiriki,Oskar Alegría,2019,4
2021-12-17,La mujer que escapó,Sang-soo Hong,2020,
2022-01-14,Petite Maman,Céline Sciamma,2021,4
2022-01-28,Titane,Julia Ducournau,2021,
2022-02-11,Libertad,Clara Roquet,2021,
2022-02-25,The French Dispatch,Wes Anderson,2021,
2022-03-11,Noche de fuego,Tatiana Huezo,2021,
2022-03-17,Seis días corrientes,Neus Ballús,2021,5
2022-04-08,Drive my car,Ryusuke Hamaguchi,2021,4
2022-04-22,Licorice Pizza,Paul Thomas Anderson,2021,
2022-04-29,Las ilusiones perdidas,Xavier Giannoli,2021,
2022-05-06,El caso Fischer,Edward Zwick,2015,
2022-05-11,La vida secreta de los árboles,Jörg Adolf,2020,
2022-05-14,Alcarrás,Carla Simón,2022,
2022-07-16,Roma,Alfonso Cuarón,2018,
2022-07-17,El buen patrón,Fernando León De Aranoa,2021,
2022-08-13,Intemperie,Benito Zambrano,2019,
2022-08-26,Lucio,José Mari Goenaga,2007,
2022-08-27,¡Lumière! Comienza la aventura,Thierry Fremaux,2016,
2022-08-29,El hijo del acordeonista,Fernando Bernués,2019,
2022-09-03,Hil kanpaiak,Imanol Rayo,2020,
2022-10-14,A Hero,Asghar Farhadi,2021,5
2022-10-28,La peor persona del mundo,Joachim Trier,2021,
2022-11-11,Benediction,Terence Davies,2021,
2022-11-18,El acontecimiento,Audrey Diwan,2021,
2022-11-20,Vasil,Avelina Prat,2022,
2022-11-30,Fire of Love,Sara Dosa,2022,
2022-12-05,As bestas,Rodrigo Sorogoyen,2022,
2022-12-12,Sintiéndolo mucho,Fernando León De Aranoa,2022,
2022-12-16,Vórtex,Gaspar Noé,2021,
2022-12-18,Suro,Mikel Gurrea,2022,
2023-01-14,Minari,Lee Isaac Chung,2020,
2023-01-20,La emperatriz rebelde,Marie Kreutzer,2022,
2023-01-21,En un muelle de Normandía,Emmanuel Carrère,2021,4
2023-01-27,Red Rocket,Sean Baker,2021,4
2023-02-10,"Una noche, un año",Isaki Lacuesta,2022,4
2023-02-17,Mantícora,Carlos Vermut,2022,5
2023-02-19,The Whale,Darren Aronofsky,2022,
2023-02-24,Aftersun,Charlotte Wells,2022,
2023-02-26,Irati,Paul Urkijo,2022,
2023-03-05,El triángulo de la tristeza,Ruben Östlund,2022,
2023-03-10,Cerdita,Carlota Pereda,2022,
2023-03-17,"Everything, Everywhere, all at Once",Daniels,2022,
2023-03-20,Los Fabelman,Steven Spielberg,2022,4
2023-03-24,The Quiet Girl,Colm Bairéad,2022,4
2023-03-27,Almas en pena de Inisherin,Martin McDonagh,2022,4
2023-04-14,El faro,Robert Eggers,2019,
2023-04-16,Destinos,Stephan Komandarev,2017,
2023-04-23,Loli Tormenta,Agustí Villaronga,2023,
2023-05-12,Una bonita mañana,Mia Hansen-Løve,2022,4
2023-05-26,Preparativos para estar juntos…,Lili Horvát,2020,
2023-05-27,Pig,Michael Sarnoski,2021,
2023-07-14,Modelo 77,Alberto Rodriguez,2022,
2023-09-02,Barbie,Greta Gerwig,2023,
2023-10-30,Gracias a Dios,François Ozon,2018,
2023-10-31,Donbass,Serguéi Loznitsa,2018,
2023-11-01,Intocable,Olivier Nakache,2011,
2023-11-04,Coda,Sian Heder,2021,
2023-11-05,Close,Lukas Dhont,2022,4
2023-11-12,La juventud,Paolo Sorrentino,2015,
2023-11-24,Vidas pasadas,Celine Song,2023,4
2023-11-25,Family Romance,Werner Herzog,2019,4
2023-12-08,Ander,Roberto Castón,2009,
2023-12-15,El chico y la garza,Hayao Miyazaki,2023,
2024-01-12,La clase de esgrima,Klaus Härö,2015,
2024-01-14,Anatomía de una caída,Justine Triet,2023,4
2024-01-19,Fallen Leaves,Aki Kaurismäki,2023,4
2024-01-26,Chinas,Arantxa Echevarría,2023,
2024-01-27,Una habitación con vistas,James Ivory,1985,
2024-02-03,Els encantats,Elena Trapé,2023,4
