,name_date,stars,text
204,"Anonymous on Aug 6, 2013",5 out of 5 stars,"Really beautiful object! This one I keep preciously, but I remember the idea to make a gift :)"
205,"Anonymous on Aug 5, 2013",5 out of 5 stars,Beautiful crafts(woman)ship - my mother loved the fan!!
206,"Anonymous on Aug 4, 2013",5 out of 5 stars,Cute mirror to match my fan. Thank you :)
207,"Anonymous on Aug 4, 2013",5 out of 5 stars,Beautiful fan. Seller is wonderful and informative. Thank you :)
208,"Anonymous on Jul 28, 2013",5 out of 5 stars,"These are beautiful fans - very pretty fabric and well made. The seller is also very helpful and provided very prompt delivery (much needed given the unusually hot weather we are experiencing in the UK!).  I chose this fan, partly for the design and partly because they look robust and, as I plan to use it a lot, it will last a long time.  Thank you Karmele."
209,"Anonymous on Jul 27, 2013",5 out of 5 stars,"Quick delivery, nice wrapping and beautiful fan! Thank you!"
210,"Anonymous on Jul 22, 2013",5 out of 5 stars,Thank you so much! I'm so happy with my fan - it is beautiful and just as I hoped for. It's been well used already in the hot weather we've been having - unlike the UK usually gets! Muchas gracias!
211,"Anonymous on Jul 12, 2013",5 out of 5 stars,This is my second purchase and I received another great fan! Great design and quality and great seller.
212,"Anonymous on Jun 22, 2013",5 out of 5 stars,"Many thanks for this little wonder, I can't wait to get it out but for that you need warmth :D and thank you for the very touching little word"
213,"Anonymous on Apr 25, 2013",5 out of 5 stars,This was a gift for a friend who collects fans and she loved it!
214,"Anonymous on Apr 12, 2013",5 out of 5 stars,Great hand fan. Fast shipping. Will make a unique and useful gift. Will definitely purchase again.
215,"Anonymous on Apr 5, 2013",5 out of 5 stars,Excellent service! The fan is spectacular in person. I will definitely buy more! :) Happy with my first acquisition! Thanks Olele!! :D
216,"Anonymous on Nov 19, 2012",5 out of 5 stars,Lovely piece. Beautiful fabric. Well made.
217,"Anonymous on Oct 11, 2012",5 out of 5 stars,"Hi there! Just received the beautiful hand held fans. They're even more beautiful in person! Both of them are works of art! I'm adding you to my ""favorites"" and am sure I'll be contacting you again as the Christmas season nears. Thanks again for these timeless treasures :) Babbie Mathews"
218,"Anonymous on Oct 11, 2012",5 out of 5 stars,
219,"Anonymous on Aug 7, 2012",5 out of 5 stars,"I am finally grateful for the hot summer weather because now I have a gorgeous, well-made, unique fan to keep me cool.  And I love that it came with a carrying case so that I can carry it in my purse and not worry about it getting damaged.  I love it! Thank you!"
220,"Anonymous on Jul 25, 2012",5 out of 5 stars,"Having one myself (which I've been enjoying for the last 3 years) I bought this beautiful fan as a gift.nI can only say that the fans are even more beautiful than in the pictures, are high-quality and made with really nice materials. The communication with Karmele was great and the shipping was really fast. Thank YOU!"
221,"Anonymous on Jul 22, 2012",5 out of 5 stars,The fan is beautiful and well made!
222,"Anonymous on Jul 11, 2012",5 out of 5 stars,Wonderful fan!! Very special gift
223,"Anonymous on Jun 25, 2012",5 out of 5 stars,"This fan is beautifully made.  I am very happy with it.  The case is elegant and protects the fan beautifully when not being used.  I will use this for many years and this will be a favorite gift to offer in the future.  Thank you so much?  By the way, the fan was shipped quickly and arrived before I expected.  An added bonus!"
224,"Anonymous on Jun 8, 2012",5 out of 5 stars,Gorgeous fan!  It arrived just in time for a balmy southern summer.  Thanks!
225,"Anonymous on May 20, 2012",5 out of 5 stars,"Absolutely beautiful fan, and the wood smells so fragrant too! A gorgeous, unique piece that I will treasure for a long time."
226,"Anonymous on Feb 25, 2012",5 out of 5 stars,Nice. Thank You
227,"Anonymous on Feb 24, 2012",5 out of 5 stars,The fans are gorgeous and well made
228,"Anonymous on Jan 23, 2012",5 out of 5 stars,It's awesome! And it's the most high quality fan I've ever seen!
229,"Anonymous on Dec 28, 2011",5 out of 5 stars,"I bought this fan for my Christmas for my mother. It was beautiful, and she loved it! I had a great experience ordering from Olelé and would highly recommend the store to anyone!"
230,"Anonymous on Dec 19, 2011",5 out of 5 stars,Lovely
231,"Anonymous on Dec 2, 2011",5 out of 5 stars,Absolutely STUNNING fan that makes a fantastic sound upon opening and closing.  I love it.  Worth EVERY PENNY!
232,"Anonymous on Dec 1, 2011",5 out of 5 stars,"The fan was as pictured and quite lovely.   I am quite sure the person receiving it for a Christmas gift will be delighted.nnThank you for your help and excellent customer service."
233,"Anonymous on Oct 21, 2011",5 out of 5 stars,
235,"Anonymous on Oct 9, 2011",5 out of 5 stars,very beautiful and just as pictured
236,"Anonymous on Oct 8, 2011",5 out of 5 stars,Beautiful :) Even smells nice when I wave it in my face :)
237,"Anonymous on Sep 30, 2011",5 out of 5 stars,Another lovely fan to add to my growing collection :)))
238,"Anonymous on Sep 30, 2011",5 out of 5 stars,I love them! Can't wait to give one as a gift. Thank you.
239,"Anonymous on Sep 28, 2011",5 out of 5 stars,Beautiful fan that is carefully made.  I love it!
240,"Anonymous on Sep 4, 2011",5 out of 5 stars,Well made and beautiful item. Despatched very quickly but delivery was very slow - if you want it quickly I'd recommend express mail.
242,"Anonymous on Sep 3, 2011",5 out of 5 stars,
243,"Anonymous on Jul 23, 2011",5 out of 5 stars,love the print!
244,"Anonymous on Jul 23, 2011",5 out of 5 stars,cute!
245,"Anonymous on Jul 14, 2011",5 out of 5 stars,"Hi there! I received the fan several days ago, but I couldnt join Etsy before. It was a different present for my Grandmother's birthday. I liked especially the case which the fan comes with. Thanks, Joan."
246,"Anonymous on Jun 18, 2011",5 out of 5 stars,
247,"Anonymous on May 8, 2011",5 out of 5 stars,"Absolutely beautifully crafted, (gift) recipient truly delighted! :)  A must-have for 'ladies of a certain age'.  :)  Sweet little pouch in which to store your precious hand fan.  Lovely presentation.  Prompt shipping.  Excellent transaction, highly recommended seller.  AAA+  Thank you so very much.  :)"
248,"Anonymous on May 2, 2011",5 out of 5 stars,Very good seller. Good communication and quick shipment. Object very nice. Gracias!
249,"Anonymous on Apr 1, 2011",5 out of 5 stars,This is a beautiful fan. Well made and I will treasure it as I use it. A truly beautiful fan for my useful collection.
250,"Anonymous on Mar 4, 2011",5 out of 5 stars,Stunning!!! This fan is beautiful and the handmade construction will amaze you. Worth the shipping wait from Spain! Excellent Customer Service and reasonable prices. Sure to buy more. I love it!!! Thanks for your store.
251,"Anonymous on Feb 25, 2011",5 out of 5 stars,
253,"Anonymous on Feb 8, 2011",5 out of 5 stars,"WOW! My fans are absolutely gorgeous, i can see the Love and Care that you put into making them and they were so beautifully packaged! I actually can't wait to buy my next one....Thanks Karmele, Heaps of hugs, S"
254,"Anonymous on Jan 19, 2011",5 out of 5 stars,"Wow I love it, I feel like I'm going to place another order... very fast shipping I didn't expect it so early :-)"
255,"Anonymous on Dec 9, 2010",5 out of 5 stars,"what a beautiful fan! can´t wait for sommer...quick shipping, nice communication, thank you!"
256,"Anonymous on Dec 8, 2010",5 out of 5 stars,
257,"Anonymous on Dec 1, 2010",5 out of 5 stars,Beautiful fan
258,"Anonymous on Dec 1, 2010",5 out of 5 stars,Lovely fan and fast postage
259,"Anonymous on Nov 19, 2010",5 out of 5 stars,"Thanks so much, the detail in everything is great. Its going to be an amazing christmas present!"
260,"Anonymous on Aug 23, 2010",5 out of 5 stars,Beautiful craftsmanship and prompt delivery
261,"Anonymous on Aug 5, 2010",5 out of 5 stars,Beautiful!
262,"Anonymous on Aug 2, 2010",5 out of 5 stars,Another bold and beautiful fan. Great quality. Thanks!
263,"Anonymous on Aug 2, 2010",5 out of 5 stars,Beautiful sturdy fan. Appreciate the simple elegant fan sleeve. Thanks!
264,"Anonymous on Jul 31, 2010",5 out of 5 stars,Fan is gorgeous and very well made. I love it!
265,"Anonymous on Jul 29, 2010",5 out of 5 stars,"¡A very nice hand fan! It was the perfect present for my girlfriend. I'm sure she will use it in these warm summer days :D. I'll direct all my friends to visit Olele. Thanks Karmele, ¡good luck! n- Kind regards, Joan -"
266,"Anonymous on Jul 28, 2010",5 out of 5 stars,"Excellent craft work and materials. A beautiful, useful and chic object. Also love the case it came in. Thanks! Very happy with my purchase."
267,"Anonymous on Jul 28, 2010",5 out of 5 stars,"When I was traveling in Europe recently, I saw many women using fans to keep themselves cool on the Metro and at cafes. DC has had a very hot summer, and I thought I'd like to bring a fan into my life. I just received my fan from Olele--and it is so beautiful!! I can't wait to use it! It shipped very quickly and I received it within just a few days. It is a very high quality, beautiful fabric and wooden fan. I can see myself coming back to Olele for more fans with different designs, and I am quite sure I will receive many compliments on this fan--I will direct everyone to Olele on Etsy! :) Thank you!!"
268,"Anonymous on Jul 26, 2010",5 out of 5 stars,Thank you Karmele. The Fan is simply devine. I am now looking forward to a long hot down under summer.
269,"Anonymous on Jul 26, 2010",5 out of 5 stars,Love this fan! The wood is so smooth in my hand. Can't wait to show it off!
270,"Anonymous on Jul 1, 2010",5 out of 5 stars,Thank you!
271,"Anonymous on Jun 29, 2010",5 out of 5 stars,They're beautiful!  Thank you!
272,"Anonymous on Jun 21, 2010",5 out of 5 stars,Thank you!
273,"Anonymous on Jun 18, 2010",5 out of 5 stars,Gorgeous! Love it! Just in time for the summer sun.
274,"Anonymous on Jun 15, 2010",5 out of 5 stars,"Really nice communication with Karmele Luqui. Very beautiful package (like a gift). And the clutch bag to carry the hand fan is so neat and soft! Of course the hand fan is extremely lovely. In brief: I am marveling at so much beauty ^_^nThank you Karmele!"
275,"Anonymous on Jun 12, 2010",5 out of 5 stars,"A huge WOW when I just got them! The fans are just more beautiful than in the pictures, really nice quality and materials. The communication with the seller was great and the shipping was really fast. Thank YOU!"
277,"Anonymous on Jun 10, 2010",5 out of 5 stars,"Just received this yesterday, and I am in love.  It is even more beautiful than in the pictures.  I couldn't be happier, and can't wait to start using it (showing it off)!"
