,name_date,stars,text
45,"Christopheron Apr 17, 2019",5 out of 5 stars,"Fast shipping, and a gorgeous fan as it is just what I was looking for. The leather case it comes with is perfect as well. Will keep an eye on future listings and definitely would recommend to anyone looking for a decently priced quality hand fan!"
46,"veradumont2on Apr 7, 2019",5 out of 5 stars,"I purchased 3 fans.  A black and dark ribbing, blue with red ribbing and a lovely African print.  
The fans are wonderful, and I am already using them.  I loved also the scent they have. It is a detail I didn't expect but appreciate.  It's wonderful and fresh scent as I use them.
Olele is wonderful!!!! Thank you for your patience and attention working with me."
47,"veradumont2on Mar 31, 2019",5 out of 5 stars,"Absolutely gorgeous fan.
My immediate favorite.  This is the first time I am interested in printed fans. 
I find it elegant with the little black dress as well as jeans... I will be getting more prints...."
48,"MARJOLAINEon Mar 25, 2019",5 out of 5 stars,
49,"Yvonneon Mar 17, 2019",5 out of 5 stars,"Beautiful fan, I absolutely love it!! Delivery was super fast, within a few days!!"
50,"Jon Mar 14, 2019",5 out of 5 stars,Excellent quality and the perfect size!  Thanks so much.
51,"Maggieon Mar 7, 2019",5 out of 5 stars,It was shipped very fast and the craftsmanship is excellent!!  I hope to enjoy for years to come...
52,"Dianeon Mar 4, 2019",5 out of 5 stars,Simply beautiful! Very unique and excellently handmade!
53,"Amyon Feb 17, 2019",5 out of 5 stars,"Gorgeous fan, beautiful craftsmanship. Thank you!"
54,"Amyon Feb 17, 2019",5 out of 5 stars,This is a beautiful fan. Thank you!
56,"helenerighettion Feb 8, 2019",5 out of 5 stars,"Perfect, as usual. Careful work"
58,"福島 圭子on Feb 4, 2019",5 out of 5 stars,"I received it, thank you."
59,"helenerighettion Jan 24, 2019",5 out of 5 stars,Perfect! Superb tones. Fast shipping
60,"adelineon Dec 29, 2018",5 out of 5 stars,Perfect like always
61,"Emilyon Dec 23, 2018",5 out of 5 stars,"Exactly what I wanted! 
Classic"
62,"Emilyon Dec 23, 2018",5 out of 5 stars,The mini fan is adorable and perfect for travel and clutch bags. 3rd purchase!
63,"Helenon Sep 28, 2018",5 out of 5 stars,"Beautiful, ver well made!! Thank you very much for the lovely earrings you gave as a gift😃"
64,"SamanthaMGon Sep 1, 2018",5 out of 5 stars,Love these and I use them every day.  Hot flashes never felt so fashionable as when I am using my fans!  The Wax prints are beautiful and I love the colors.   Well made and beautiful!
65,"SamanthaMGon Sep 1, 2018",5 out of 5 stars,Love it and got it to have a few colors because I use these every day.  Love the beautiful Wax prints.
66,"carolegaucheron Aug 30, 2018",5 out of 5 stars,
67,"Maria del Maron Aug 27, 2018",5 out of 5 stars,"Excellent quality and price, very prompt shipment and excellent communication. I will not hesitate to order again. Thank you very much!"
68,"chrobbeon Aug 16, 2018",5 out of 5 stars,
69,"Helenon Aug 11, 2018",5 out of 5 stars,"Beautiful,thank you so much! I will definitely buy again"
70,"Sandyon Jul 15, 2018",5 out of 5 stars,
71,"Carlaon Jun 16, 2018",5 out of 5 stars,Absolutely a beautiful fan and can’t wait to use it. Thank you!
72,"Ton Jun 6, 2018",5 out of 5 stars,Very well made and beautiful fan.
73,"Melissaon Jun 4, 2018",5 out of 5 stars,
74,"flamingfuchsiaon Jun 2, 2018",5 out of 5 stars,As beautiful as the pictures on the listing. Arrived quick and well wrapped. The leather carry case is a lovely touch. I can see myself buying another in the distant future. Thank you.
75,"sylvieon May 28, 2018",5 out of 5 stars,Thank you very much Karmele; beautiful fan for Mother's Day! I will probably order again
76,"sylvieon May 28, 2018",5 out of 5 stars,Perfect transaction! Great seller! I'll order again
77,"Melissaon May 3, 2018",5 out of 5 stars,
78,"Yannickon Apr 10, 2018",4 out of 5 stars,Very good finish. Nice article
79,"Catherineon Apr 4, 2018",5 out of 5 stars,"Karmele had this fan in dark wood, which I ordered and she sent out next day.  AS ALWAYS: FABULOUS!!!!  I now have and use a number of Karmele's fans.  I far prefer them to the French fans I own - each of Karmele's fans is unique.  Her wonderful fabrics can be combined with different colored wooden staves, as you choose.  She has made up several fans for me that were not posted and will show you what it will look like before making it up.  MANY thanks, once again, Karmele."
80,"Paulaon Mar 1, 2018",5 out of 5 stars,This is a beautiful fan! It was shipped in perfect condition and very quickly!
81,"Leslieon Jan 18, 2018",5 out of 5 stars,This is the second fan I've purchased and it is lovely.  I want them all!  Excellent customer service and shipping from Europe to the U.S.
82,"Oliviaon Jan 4, 2018",5 out of 5 stars,"absolutely in love with every single fan I purchased. there is true craftsmanship in the way they are constructed.
my event was a success and I have added unique fans to my collection. love it love it"
83,"jenniferpbowman1on Oct 14, 2017",5 out of 5 stars,Absolutely beautiful!
84,"jenniferpbowman1on Oct 14, 2017",5 out of 5 stars,Beautiful!
85,"Jazyon Sep 26, 2017",5 out of 5 stars,"What a beautiful fan! Yes, it's expensive but this isn't the cheap, mass-produced plastic fan from China. The care that went into making this wooden fan is evident. I'm happy with my purchase."
86,"Annaon Sep 7, 2017",5 out of 5 stars,
87,"Manonon Aug 27, 2017",5 out of 5 stars,"Beautiful, solid and handmade fan! perfect!
Sent very quickly.

Thank you very much!"
88,"Catherineon Aug 14, 2017",5 out of 5 stars,"Karmele makes the most wondrous fans I've ever seen.  The fabrics; woods; combinations of the two are all unique and very sophisticated.  This time, I ordered a smaller fan for a petite friend as well as another one for me to use, myself - I'm often overheated.  So Karmele's fans are a gift to everyone who gets to see them in use - and everyone else loves them, too.
Many thanks, Karmele - I will order again.
P.S. These fans arrive - in their own beautiful cases - FAST!"
89,"mariatwell1on Aug 11, 2017",5 out of 5 stars,My fan arrived earlier than expected and is absolutely gorgeous!  It came in time for me to use at an outdoor theatre production and got rave reviews from my girl friends.  So worth it!
90,"Kittieon Aug 11, 2017",5 out of 5 stars,"My second fan from this shop as I sadly lost my first.  :(  This one is also lovely and I love the extra clip to –hopefully– prevent the same tragedy from repeating itself. 

Thank you Olelé!"
91,"Melissaon Aug 10, 2017",5 out of 5 stars,
92,"adelineon Aug 1, 2017",5 out of 5 stars,A merveillosa réal
93,"Charityon Aug 1, 2017",5 out of 5 stars,This fan is beautiful and SUPER helpful. I've gotten so many compliments on it! I keep it in my purse at all times!
94,"PollitaCaroon Jul 23, 2017",5 out of 5 stars,Gorgeous fan! Will buy again in many styles! My only wish is that the holders had a strap to wear around my wrist ;)
95,"VCon Jul 20, 2017",5 out of 5 stars,This is a truly gorgeous fan!!! And Karmele is absolutely wonderful to work with. Thanks again!!!
96,"Suzanneon Jul 6, 2017",5 out of 5 stars,Very beautiful fan - love it! thanks again and love the case that it comes in. It will go well with many of my tango ensembles!
97,"genny2080on Jul 5, 2017",5 out of 5 stars,"A beautiful fan, very well crafted. Very speedy delivery."
98,"chrobbeon Jun 27, 2017",5 out of 5 stars,Fabulous!!
99,"Catherineon Jun 26, 2017",5 out of 5 stars,"This fan is made from a Japanese fabric - unlike the other two fans I ordered at the same time - and I love it that Karmele has provided the information to know what the pattern signifies.  The fabric is quite compelling to my eye in both colorways offered; I bought the brighter colors simply for summer use.  The way the fabrics are matched with their wooden staves and leather sleeves is extraordinary - Karmele's fans are truly incomparable.  I feel that I am carrying a small work of art with me when using one of Karmele's fans - others, on seeing them, agree.  MANY thanks, Karmele, for the beauty and comfort you have added to my days."
100,"Catherineon Jun 26, 2017",5 out of 5 stars,"Karmele very kindly made up for me a fan from an earlier pattern: showing me how it would look in advance.  It - like the other 2 fans I purchased - is simply gorgeous.  And her fans are very sturdy, unlike some others I've used and worn out; these fans are of the highest quality.  And unique patterns.  Plus the wonderful leather sleeves make them easy to carry.  I am a fan (ha ha.)  I really will be buying more from this shop and couldn't recommend it more highly.  Besides everything else, Karmele answers inquiries quite promptly and makes one's order up rapidly: your fans are in your hands before you know it!  Thank you again, Karmele."
101,"Catherineon Jun 26, 2017",5 out of 5 stars,"What a beautiful fan!  Fantastic fabric and staves; exceptionally well made!  This fan is a pleasure to use and receives comments whenever I am using it.  Karmele's fans are by far the best I have ever carried.  The fabric was somewhat differently placed on my fan in this pattern but is equally gorgeous.  And Karmele very kindly sent me a picture of how my fan would look before making it up for me.  I purchased three fans this time and will be back.  Many thanks, Karmele.  Oh - and did I say? - each fan came with its' own custom leather sleeve, and arrived remarkably quickly."
102,"tappingon Jun 10, 2017",5 out of 5 stars,a wonderful gift for a fellow fan lover. she was thrilled. the craftsmanship is superb.
103,"Davidon May 2, 2017",5 out of 5 stars,The fabric and construction are amazing. Top quality! Gave this to my wife for her birthday and see LOVES it! Fast shipping and great communication.
104,"Michelleon Apr 29, 2017",5 out of 5 stars,
105,"Marciadefabio2on Apr 6, 2017",5 out of 5 stars,A beautiful fan and extremely well made!
106,"kimon Apr 4, 2017",1 out of 5 stars,"I never received this fan I have been in touch with the supplier and still waiting for it to be resolved either a refund or replacement, very disappointing as it was my  first buy from Etsy !"
107,"Nikkion Apr 2, 2017",5 out of 5 stars,Excellent product.  Will definitely purchase more.
108,"Gabrielleon Mar 19, 2017",5 out of 5 stars,Beautiful fan! Thank you very much.
109,"Juleson Dec 2, 2016",5 out of 5 stars,"Gorgeous! Beautifully made, very happy.  Such lovely quality, and I've never found a fan before with such high quality sleeves for safe keeping."
110,"Juleson Dec 2, 2016",5 out of 5 stars,"Thank you, it's gorgeous and I'm very happy.  Very high quality, both fan and sleeve.  Beautifully packaged."
111,"Melissaon Nov 5, 2016",5 out of 5 stars,
112,"Kittieon Oct 12, 2016",5 out of 5 stars,"I ordered a custom left handed fan from Olele as I've wanted one for forever, but never find any at art faires.  It is absolutely lovely and high quality.  Came right when she said it would.  I highly recommend."
113,"Carolynon Oct 7, 2016",5 out of 5 stars,Gorgeous fan to keep me cool in the NYC subway heat.
114,"Melissaon Sep 6, 2016",5 out of 5 stars,
115,"Jennaon Aug 25, 2016",5 out of 5 stars,"Magnifique éventail! Pratique et solide. 
I 'm realy happy of my purchase."
116,"Simoneon Aug 14, 2016",5 out of 5 stars,
117,"Robinon Aug 13, 2016",5 out of 5 stars,"Beautiful, thank you !"
118,"fredDilleyon Aug 11, 2016",5 out of 5 stars,The quality of these fans is noteworthy. The designs are eye catching and fun. They make a great gift! Thank you!
119,"fredDilleyon Aug 11, 2016",5 out of 5 stars,These gorgeous fans are wonderful for the hot summer!! The packaging is elegant too! Gracias!
120,"Jessieon Jul 26, 2016",5 out of 5 stars,"Truly feels like holding a work of art in your hands, and ah the blessed coolness. Would definitely purchase again from this shop!"
121,"Chrison Jul 6, 2016",5 out of 5 stars,
122,"Sommerlindeon Jul 6, 2016",5 out of 5 stars,"The fan is beautiful, thank you!"
123,"Heatheron Jul 1, 2016",5 out of 5 stars,"Stunning. Simply stunning.  Thank you for shipping so quickly, too!"
124,"Simoneon Jun 25, 2016",5 out of 5 stars,
126,"Zelmaon Jun 17, 2016",5 out of 5 stars,This is also wonderful fan. Great colours!
127,"Zelmaon Jun 17, 2016",5 out of 5 stars,"I got both fans just few days ago. I am big fan of Japanese aesthetics and this fan is wonderful, patter indeed reminds me of my travels in Japan. Thank you!"
128,"mishkastxon Jun 8, 2016",5 out of 5 stars,"Beautiful, bright, well made. Comes with a nice case.  Very classy.  Me encanta!"
129,"Ebonyon May 17, 2016",5 out of 5 stars,"Lovely, thank you very much!"
130,"Ebonyon May 17, 2016",5 out of 5 stars,"Beautiful, thank you so much! :-)"
131,"Cynthiaon May 12, 2016",5 out of 5 stars,Warning: Purchase one and you will become addicted. Absolutely beautiful.
132,"Cynthiaon May 12, 2016",5 out of 5 stars,These wonderful fans have become my go-to gift.  The only problem I have is letting them go.  Unique and well made. You will not be dissapointed.
133,"Siobhanon May 11, 2016",5 out of 5 stars,Very beautiful. I'm torn between actually using the fan or having it sit on my wall as decoration.
134,"Tanyaon Apr 24, 2016",5 out of 5 stars,"Fabulous as always, thank you!"
135,"Saraon Apr 18, 2016",5 out of 5 stars,"It's really beautiful! Perfectly made in all its parts.
Warmly recommended."
136,"cristinarodriguez656on Apr 18, 2016",5 out of 5 stars,
138,"Camilaon Mar 23, 2016",5 out of 5 stars,This Lady is a pro. Her fans are of high quality. I strongly recommend as this is the second fan I purchased. Thanks Karmele!
139,"Christinaon Mar 5, 2016",5 out of 5 stars,"Love this, thank you!"
140,"Tanyaon Feb 27, 2016",5 out of 5 stars,"These are the best fans, well made and gorgeous! Thank you!"
142,"Camilaon Feb 16, 2016",5 out of 5 stars,I am so happy with this hand fan. It is so unique and well made. Looks even better in person. It's a gift for my best friend and I can guarantee that she will absolutely love it!
143,"MS Meccaon Feb 11, 2016",5 out of 5 stars,
144,"Catherineon Jan 26, 2016",5 out of 5 stars,"Perfect, thank you. Very beautiful!"
145,"BatWeyon Jan 12, 2016",5 out of 5 stars,I love it. It's so beautiful ! Thanks a lot
