AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO CALLE;NOMBRE CALLE;CALIFICACION;NRO MULTAS;IMPORTE PAGADO;IMPORTE PENDIENTE DE PAGO EN EJECUTIVA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;GRAVE;2;100;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1440;EUSKALERRIA HIRIBIDEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2020;80;ZUMARRAGA;1520;ARGIXAO AUZOA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2020;80;ZUMARRAGA;1520;ARGIXAO AUZOA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;GRAVE;7;100;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;1540;LETURIATARREN ENPARANTZA;LEVE;18;30;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2020;80;ZUMARRAGA;1610;ANTZIÑE HIRIBIDEA;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2020;80;ZUMARRAGA;1620;BUSKA SAGASTIZABAL PARKEA;LEVE;1;40,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1640;SAN GREGORIO KALEA;LEVE;22;120;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2020;80;ZUMARRAGA;1650;SAN ISIDRO KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2020;80;ZUMARRAGA;1670;ELGARRESTAMENDI KALEA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2020;80;ZUMARRAGA;1710;ETXEBERRI AUZOA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;7001;IPAR HAIZEA AUZOA;LEVE;7;95,95;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2020;80;ZUMARRAGA;7003;IZAZPI AUZOA;GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;7003;IZAZPI AUZOA;LEVE;1;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2020;80;ZUMARRAGA;7008;EITZA BERRI;LEVE;2;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2020;80;ZUMARRAGA;7211;ELKANO KALEA;GRAVE;3;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2020;80;ZUMARRAGA;7211;ELKANO KALEA;LEVE;25;175,95;80,4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2020;80;ZUMARRAGA;7212;IBAIONDO;LEVE;5;45;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2020;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;GRAVE;23;1315;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2020;80;ZUMARRAGA;7213;ESKUALDEKO OSPITALEA;LEVE;84;990;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2020;80;ZUMARRAGA;7214;ANTIO;LEVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
