AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO CALLE;NOMBRE CALLE;CALIFICACION;NRO MULTAS;IMPORTE PAGADO;IMPORTE PENDIENTE DE PAGO EN EJECUTIVA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2022;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;GRAVE;13;815;244,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2022;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;LEVE;284;3289,65;1311;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2022;80;ZUMARRAGA;1110;GELTOKIEN ENPARANTZA;MUY GRAVE;3;0;2869,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2022;80;ZUMARRAGA;1120;EUSKADI ENPARANTZA;LEVE;2;15;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2022;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;GRAVE;15;765,44;539,42;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2022;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;LEVE;6;75;40,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2022;80;ZUMARRAGA;1130;IPARRAGIRRE HIRIBIDEA;MUY GRAVE;1;600;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2022;80;ZUMARRAGA;1140;JAI-ALAI KALEA;GRAVE;3;15;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2022;80;ZUMARRAGA;1140;JAI-ALAI KALEA;LEVE;42;502,9;77,4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2022;80;ZUMARRAGA;1150;LEGAZPI KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2022;80;ZUMARRAGA;1150;LEGAZPI KALEA;LEVE;26;320;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2022;80;ZUMARRAGA;1160;PIEDAD KALEA;GRAVE;6;415;214,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2022;80;ZUMARRAGA;1160;PIEDAD KALEA;LEVE;108;1162,4;794,55;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2022;80;ZUMARRAGA;1160;PIEDAD KALEA;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2022;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;GRAVE;6;400;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2022;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;LEVE;110;1187,25;961,8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2022;80;ZUMARRAGA;1170;SEKUNDINO ESNAOLA KALEA;MUY GRAVE;1;0;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2022;80;ZUMARRAGA;1180;SORALUCE KALEA;LEVE;6;120;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2022;80;ZUMARRAGA;1190;UROLA KALEA;GRAVE;1;100;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2022;80;ZUMARRAGA;1190;UROLA KALEA;LEVE;9;75;36,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
