      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
       13004;  10/04/1993;    18:44:41;     43.0933;     -2.0400;         2.0;            ;         2.3;           2;SW LIZARTZA.SS
       13005;  10/04/1993;    18:46:56;     43.0133;     -1.9500;         3.0;            ;         3.1;           2;SE BETELU.NA
       13407;  02/12/1993;    06:59:18;     43.1617;     -1.8300;         4.0;            ;         2.9;           2;SE GOIZUETA.NA
       14175;  07/06/1994;    18:43:02;     43.2983;     -1.8450;        17.0;            ;         3.2;           2;E OIARTZUN.SS
       15094;  02/05/1995;    04:29:14;     43.1033;     -1.9350;         5.0;            ;         2.5;           2;NE ARESO.NA
       15158;  03/06/1995;    02:38:25;     43.0583;     -2.0133;         2.0;            ;         3.0;           2;NW ARRIBE.NA
       15425;  04/10/1995;    20:18:57;     43.0800;     -1.8183;         4.0;            ;         3.1;           2;SE EZKURRA.NA
       15752;  23/12/1995;    17:18:59;     43.3383;     -1.8883;         9.0;            ;         3.2;           2;NE LEZO.SS
       16418;  13/07/1996;    02:40:12;     43.0467;     -2.1583;         0.0;            ;         2.1;           2;NW ZALDIBIA.SS
       16573;  25/08/1996;    01:37:57;     43.3800;     -1.7417;        15.0;            ;         2.4;           2;NE HENDAYE.FRA
       16578;  25/08/1996;    13:18:38;     43.3250;     -1.7367;        20.0;            ;         2.3;           2;SE HENDAYE.FRA
       16790;  05/11/1996;    22:40:39;     43.2083;     -2.2017;         6.0;            ;         2.6;           2;SW AIA.SS
       16835;  25/11/1996;    05:37:44;     43.0650;     -2.5000;        11.0;            ;         2.0;           2;W ARRASATE/MONDRAGÓN.SS
       17326;  26/04/1997;    07:28:55;     43.1133;     -1.8117;         2.0;            ;         3.1;           2;NW ERATSUN.NA
       17335;  29/04/1997;    11:18:56;     43.3517;     -2.0983;         8.0;            ;         2.3;           2;NE ORIO.SS
       17880;  30/08/1997;    04:01:10;     43.2250;     -2.2667;        18.0;          IV;         3.5;           2;SW ZESTOA.SS
       17881;  30/08/1997;    04:12:21;     43.2483;     -2.2550;        18.0;         III;         3.4;           2;NE ZESTOA.SS
       17894;  03/09/1997;    17:51:58;     43.2033;     -2.2050;        10.0;            ;         2.8;           2;NW ERREZIL.SS
       17904;  08/09/1997;    03:26:37;     43.2867;     -2.2650;         3.0;          II;         3.0;           2;SW ZUMAIA.SS
       83474;  15/02/1998;    03:40:37;     43.1387;     -1.7632;         2.5;            ;         2.2;           3;NW ZUBIETA.NA
      215328;  05/07/1998;    21:59:33;     43.0254;     -2.2218;        19.7;            ;         2.0;           2;NE IDIAZABAL.SS
      213732;  24/07/1998;    04:20:18;     43.2995;     -1.7230;        14.7;            ;         1.9;           2;NW BERA/VERA DE BIDASOA.NA
      116828;  28/10/1998;    23:47:46;     42.9139;     -2.0556;        16.2;            ;         2.0;           2;NE ETXARRI-ARANATZ.NA
      245565;  09/11/1998;    02:08:05;     42.9122;     -2.0473;         0.0;            ;         2.0;           2;SW ARBIZU.NA
      252276;  08/06/1999;    18:37:01;     43.0893;     -1.9479;        10.2;            ;         2.0;           2;NE ARESO.NA
      143115;  15/06/1999;    11:19:34;     42.9845;     -2.2615;         0.0;            ;         2.3;           2;E ZEGAMA.SS
      238911;  15/12/2000;    06:41:47;     43.0740;     -1.8812;        10.6;            ;         2.3;           2;E LEITZA.NA
      248383;  23/02/2001;    03:18:17;     43.2067;     -1.8453;        17.6;            ;         2.2;           2;E ARANO.NA
      265130;  02/06/2001;    01:11:10;     42.8989;     -1.7888;         0.0;          IV;         2.9;           2;SE IRURTZUN.NA
      265515;  02/06/2001;    02:33:24;     42.9016;     -1.8221;         0.0;      II-III;         2.4;           2;S IRURTZUN.NA
      302240;  13/01/2002;    16:11:59;     43.2022;     -1.8221;        18.3;            ;         2.6;           2;NE GOIZUETA.NA
      302291;  13/01/2002;    17:33:50;     43.2126;     -1.8357;        18.1;            ;         2.6;           2;E ARANO.NA
      312836;  21/02/2002;    10:21:50;     42.9341;     -1.8753;         0.0;           V;         3.8;           2;W EGIARRETA.NA
      313019;  22/02/2002;    07:59:12;     42.9447;     -1.8513;         4.8;      II-III;         2.4;           2;N EGIARRETA.NA
      314339;  27/02/2002;    06:13:46;     42.9594;     -1.8783;         0.0;          IV;         2.8;           2;NW EGIARRETA.NA
      314378;  27/02/2002;    06:17:16;     42.9305;     -1.8658;         0.0;          II;         2.1;           2;W EGIARRETA.NA
      314364;  27/02/2002;    08:44:27;     42.9554;     -1.8570;         5.4;         III;         2.7;           2;NW EGIARRETA.NA
      314545;  27/02/2002;    13:38:24;     42.9522;     -1.9100;         7.3;            ;         2.3;           2;NE IRAÑETA.NA
      314683;  27/02/2002;    19:13:39;     42.9565;     -1.8765;         0.0;            ;         2.2;           2;NW EGIARRETA.NA
      315575;  02/03/2002;    12:27:38;     43.0169;     -1.8443;         8.8;            ;         1.4;           4;E MUGIRO.NA
      315690;  03/03/2002;    00:05:57;     42.9599;     -1.7952;         4.0;            ;         1.2;           4;SW ETXALEKU.NA
