      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
      918968;  13/06/2009;    01:32:57;     43.2756;     -1.9957;         0.0;            ;         0.9;           4;NW HERNANI.SS
      919102;  14/06/2009;    02:28:10;     43.2766;     -1.8848;         0.0;            ;         1.6;           4;SW OIARTZUN.SS
      919136;  14/06/2009;    09:04:27;     43.3118;     -1.9006;         0.0;            ;         1.3;           4;SE ERRENTERIA.SS
      921897;  26/06/2009;    22:56:54;     43.2999;     -1.7303;        28.3;            ;         1.8;           4;NW BERA/VERA DE BIDASOA.NA
      921941;  27/06/2009;    04:48:05;     43.2744;     -1.7599;        29.3;            ;         1.0;           4;NW LESAKA.NA
      927757;  19/07/2009;    07:19:31;     43.1485;     -2.0708;         0.0;            ;         1.3;           4;N TOLOSA.SS
      935297;  18/08/2009;    21:04:47;     43.0884;     -1.9529;         4.6;            ;         0.9;           4;NW ARESO.NA
      936387;  24/08/2009;    02:23:53;     43.1168;     -1.9220;         0.0;            ;         1.1;           4;N LEITZA.NA
     1007807;  07/09/2009;    09:51:05;     43.2846;     -1.7220;         0.0;            ;         1.8;           4;W BERA/VERA DE BIDASOA.NA
     1007808;  07/09/2009;    11:38:02;     43.2410;     -1.7462;         0.0;            ;         1.9;           4;W LESAKA.NA
      944162;  25/09/2009;    16:26:26;     43.2079;     -1.8378;         0.0;            ;         1.4;           4;NE GOIZUETA.NA
      944172;  25/09/2009;    23:25:27;     43.0540;     -2.0776;         0.0;            ;         1.8;           4;NE AMEZKETA.SS
      949551;  09/10/2009;    01:57:07;     43.1064;     -1.7416;         0.0;            ;         0.3;           4;N BEINTZA-LABAIEN.NA
      954097;  28/10/2009;    21:57:38;     43.1026;     -1.7484;         0.0;            ;         0.9;           4;NW BEINTZA-LABAIEN.NA
      967107;  18/01/2010;    02:26:42;     43.0759;     -2.0220;         0.0;            ;         1.0;           4;SW OREXA.SS
      967994;  24/01/2010;    02:11:28;     43.1323;     -1.8044;         0.0;            ;         1.1;           4;W ZUBIETA.NA
      967997;  24/01/2010;    04:59:05;     43.0108;     -2.1890;         0.0;            ;         0.9;           4;SW SAN MARTIN.SS
      967999;  24/01/2010;    04:59:33;     43.0321;     -2.1624;         0.0;            ;         0.8;           4;NE SAN MARTIN.SS
      967996;  24/01/2010;    05:00:08;     42.9994;     -2.1537;        10.4;            ;         1.2;           4;S SAN MARTIN.SS
      967998;  24/01/2010;    05:00:42;     43.0165;     -2.1520;         0.0;            ;         0.9;           4;E SAN MARTIN.SS
      975222;  06/03/2010;    23:50:19;     43.2311;     -1.8554;         0.0;            ;         1.1;           4;S OIARTZUN.SS
      976196;  11/03/2010;    17:09:26;     43.1331;     -1.7449;        11.0;          II;         2.2;           4;NW ZUBIETA.NA
      980059;  05/04/2010;    00:20:13;     43.2475;     -1.7243;        19.4;            ;         1.7;           4;W LESAKA.NA
      980674;  07/04/2010;    21:37:37;     43.3123;     -1.8078;         0.0;            ;         0.9;           4;SW IRUN.SS
      990600;  22/05/2010;    21:08:52;     43.0351;     -2.0233;         0.0;            ;         1.2;           4;W ARRIBE.NA
      993093;  31/05/2010;    22:04:40;     43.0581;     -1.7272;         0.0;            ;         1.0;           4;SE BEINTZA-LABAIEN.NA
     1000180;  30/06/2010;    21:37:55;     43.0706;     -2.0348;         3.9;         III;         2.5;           4;SW OREXA.SS
     1000606;  02/07/2010;    07:12:24;     43.1060;     -2.0243;        10.7;            ;         1.8;           4;E LIZARTZA.SS
     1008515;  01/08/2010;    06:28:34;     43.0480;     -2.5929;         0.0;            ;         1.2;           4;W IBARRA.VI
     1013411;  24/08/2010;    20:06:33;     43.1104;     -1.8081;         0.0;            ;         0.8;           4;NE EZKURRA.NA
     1021592;  05/10/2010;    01:22:47;     43.1142;     -1.7465;         0.0;            ;         0.9;           4;SW ZUBIETA.NA
     1027735;  07/11/2010;    03:30:33;     43.1611;     -1.9068;        10.6;            ;         1.1;           4;W GOIZUETA.NA
     1027741;  07/11/2010;    07:07:19;     43.0981;     -1.8370;         9.8;            ;         1.2;           4;NW EZKURRA.NA
     1027796;  08/11/2010;    02:13:17;     43.1478;     -1.9363;        10.8;            ;         1.0;           4;NE BERASTEGI.SS
     1042355;  29/01/2011;    01:34:49;     43.0949;     -1.7503;         0.0;            ;         0.9;           4;NE SALDÍAS.NA
     1047724;  02/03/2011;    23:51:36;     43.1648;     -1.9022;         0.0;            ;         0.9;           4;W GOIZUETA.NA
     1048072;  04/03/2011;    15:55:04;     42.8957;     -2.5484;         0.0;            ;         1.3;           4;SW OZAETA.VI
     1061509;  15/05/2011;    00:27:00;     43.0669;     -1.9888;        10.6;            ;         1.0;           4;N ARRIBE.NA
     1062966;  21/05/2011;    22:27:41;     43.2090;     -1.9443;         0.0;            ;         0.5;           4;SE URNIETA.SS
     1070869;  30/06/2011;    18:08:33;     43.1500;     -1.7597;        11.5;            ;         1.6;           4;NW ZUBIETA.NA
     1070871;  30/06/2011;    18:10:14;     43.2316;     -1.7443;        16.0;            ;         1.3;           4;W IGANTZI.NA
     1072710;  10/07/2011;    14:55:32;     43.1915;     -1.7864;        10.7;            ;         1.7;           4;W ARANTZA.NA
     1105624;  15/10/2011;    04:31:00;     43.2273;     -1.8760;         0.0;            ;         0.4;           4;NE ARANO.NA
     1133113;  17/03/2012;    01:45:22;     43.0765;     -1.8024;         0.0;            ;         1.2;           4;SW ERATSUN.NA
     1137381;  09/04/2012;    03:37:34;     43.1298;     -2.2891;         0.0;            ;         0.7;           4;NE ZUMARRAGA.SS
     1156261;  12/07/2012;    04:09:15;     43.2297;     -2.4175;        10.0;            ;         1.7;           4;N ELGOIBAR.SS
     1164154;  06/09/2012;    23:47:10;     43.0867;     -1.9995;        10.0;            ;         1.6;           4;SE OREXA.SS
     1165979;  16/09/2012;    23:21:06;     43.1086;     -2.0007;        10.0;            ;         1.5;           4;NE OREXA.SS
     1169484;  09/10/2012;    22:00:13;     43.1835;     -2.0804;        11.0;            ;         1.0;           4;SE LARRAUL.SS
     1169483;  09/10/2012;    22:04:29;     43.1476;     -2.0537;         0.0;            ;         0.8;           4;NW BELAUNTZA.SS
     1169482;  09/10/2012;    22:13:41;     43.1970;     -2.0422;        11.0;            ;         0.8;           4;SE ADUNA.SS
     1169500;  10/10/2012;    02:34:26;     43.1883;     -2.0771;        10.0;            ;         0.8;           4;SW ZIZURKIL.SS
     1169501;  10/10/2012;    02:35:08;     43.1152;     -2.0928;        15.0;            ;         0.5;           4;NE ALEGIA.SS
     1170319;  15/10/2012;    22:37:32;     43.1919;     -2.1253;        20.0;            ;         1.6;           4;W LARRAUL.SS
     1170323;  15/10/2012;    22:39:44;     43.1314;     -2.1198;         0.0;            ;         0.8;           4;E ALBIZTUR.SS
     1194732;  28/02/2013;    19:54:45;     43.1749;     -1.8216;         7.0;            ;         1.9;           4;E GOIZUETA.NA
     1211500;  11/05/2013;    06:07:34;     42.9978;     -1.8519;         9.0;            ;         1.1;           4;E MUGIRO.NA
     1225511;  07/08/2013;    04:35:58;     43.1573;     -1.7466;         8.0;            ;         1.4;           4;N ZUBIETA.NA
     1230406;  04/09/2013;    04:21:50;     43.2021;     -1.9139;         0.0;            ;         1.0;           4;SE URNIETA.SS
     1233244;  16/09/2013;    20:23:14;     43.1991;     -1.8632;        11.0;            ;         2.1;           4;N GOIZUETA.NA
     1235484;  25/09/2013;    23:24:43;     42.9860;     -1.7490;         0.0;            ;         0.8;           4;NE ETXALEKU.NA
     1246399;  20/11/2013;    02:18:17;     43.3087;     -1.7925;        22.0;            ;         1.7;           4;S IRUN.SS
     1262785;  14/03/2014;    22:08:24;     43.1049;     -1.7473;         9.0;            ;         1.1;           4;NW BEINTZA-LABAIEN.NA
     1262891;  15/03/2014;    04:08:59;     42.9574;     -1.7936;        10.0;            ;         1.4;           4;SW ETXALEKU.NA
     1274700;  12/05/2014;    22:38:47;     43.2534;     -2.0950;        17.0;            ;         1.2;           4;SE ORIO.SS
     1278431;  05/06/2014;    01:59:04;     43.1121;     -2.0191;        15.0;      II-III;         2.6;           4;SE GAZTELU.SS
     1278442;  05/06/2014;    02:33:13;     43.1277;     -2.0280;        11.0;          II;         2.3;           4;NW GAZTELU.SS
     1278600;  05/06/2014;    21:44:09;     43.1035;     -2.0166;         0.0;            ;         1.1;           4;NW OREXA.SS
     1278772;  07/06/2014;    07:41:50;     43.0103;     -2.1716;         0.0;            ;         1.7;           4;NE SAN MARTIN.SS
     1278767;  07/06/2014;    08:01:32;     43.0089;     -2.1843;         7.0;            ;         2.0;           4;W SAN MARTIN.SS
     1279828;  13/06/2014;    22:00:57;     43.0738;     -2.0141;        10.0;            ;         2.0;           4;S OREXA.SS
     1279836;  13/06/2014;    22:57:19;     43.0958;     -2.0225;         0.0;            ;         1.5;           4;W OREXA.SS
     1284227;  12/07/2014;    07:25:32;     43.1389;     -1.7752;        17.0;            ;         1.5;           4;NW ZUBIETA.NA
     1289901;  15/08/2014;    15:08:49;     43.2879;     -2.1066;         3.0;            ;         1.7;           4;NE ORIO.SS
     1333484;  18/08/2014;    02:13:51;     43.0973;     -1.8714;         0.0;            ;         1.4;           4;NE LEITZA.NA
     1293009;  02/09/2014;    01:34:28;     43.0278;     -2.0424;         0.0;            ;         0.9;           4;SE AMEZKETA.SS
     1333888;  06/10/2014;    12:06:41;     42.9404;     -1.7937;        10.0;            ;         0.8;           4;S ETXALEKU.NA
     1312034;  01/01/2015;    00:52:43;     43.1728;     -1.9275;         0.0;            ;         1.1;           4;NE BERASTEGI.SS
     1314187;  21/01/2015;    04:50:26;     43.0477;     -1.7347;         3.0;            ;         2.6;           4;S BEINTZA-LABAIEN.NA
     1314191;  21/01/2015;    04:59:06;     43.0620;     -1.7370;         6.0;            ;         1.8;           4;S BEINTZA-LABAIEN.NA
     1314633;  24/01/2015;    11:40:52;     42.9587;     -2.0983;        11.0;            ;         1.8;           4;NW ETXARRI-ARANATZ.NA
     1329339;  13/05/2015;    20:36:50;     43.1081;     -1.7444;        14.0;            ;         1.1;           4;S ZUBIETA.NA
     1329340;  13/05/2015;    20:37:20;     43.1492;     -1.8055;        22.0;            ;         1.5;           4;SE GOIZUETA.NA
     1329522;  14/05/2015;    23:22:28;     43.3489;     -1.7189;        21.0;            ;         1.9;           4;E HENDAYE.FRA
     1383937;  17/05/2015;    11:24:12;     42.9303;     -1.7311;        10.0;            ;         0.7;           4;SW ERICE.NA
     1329982;  19/05/2015;    08:48:08;     43.0298;     -1.7570;         6.0;          II;         1.9;           4;NE JAUNSARATS.NA
     1331207;  27/05/2015;    03:45:38;     43.2475;     -1.7211;        26.0;            ;         1.8;           4;W IGANTZI.NA
     1337390;  18/07/2015;    01:48:19;     43.1253;     -1.9703;         0.0;            ;         1.1;           4;E BERASTEGI.SS
     1391925;  14/08/2015;    22:25:21;     43.0226;     -2.1641;         0.0;            ;         1.1;           4;NE SAN MARTIN.SS
     1391924;  14/08/2015;    22:25:54;     42.9833;     -2.1147;        10.0;            ;         1.6;           4;SE SAN MARTIN.SS
     1391926;  14/08/2015;    22:27:01;     43.0226;     -2.1289;        11.0;            ;         1.4;           4;SE ZALDIBIA.SS
     1340355;  14/08/2015;    22:28:46;     42.9903;     -2.1540;        14.0;            ;         2.1;           4;SE SAN MARTIN.SS
     1391927;  14/08/2015;    22:37:50;     42.9091;     -2.1504;         0.0;            ;         1.1;           4;NE ALTSASU/ALSASUA.NA
     1341321;  22/08/2015;    09:44:26;     42.9417;     -1.8276;         0.0;            ;         1.5;           4;NE EGIARRETA.NA
     1341436;  23/08/2015;    23:40:43;     42.9642;     -1.8673;         0.0;            ;         1.3;           4;NW EGIARRETA.NA
     1355030;  19/11/2015;    04:03:57;     43.1063;     -1.7324;        10.0;            ;         1.3;           4;NW BEINTZA-LABAIEN.NA
     1355473;  22/11/2015;    16:45:33;     43.1741;     -1.9366;         8.0;            ;         1.7;           4;NE ELDUAIN.SS
     1357284;  03/12/2015;    20:28:21;     43.2309;     -1.7615;        22.0;            ;         1.8;           4;NW ARANTZA.NA
     1357457;  05/12/2015;    06:10:54;     43.1442;     -1.8397;         0.0;            ;         0.9;           4;SE GOIZUETA.NA
     1357496;  06/12/2015;    01:22:02;     43.2407;     -1.7375;        27.0;            ;         1.5;           4;W LESAKA.NA
     1357500;  06/12/2015;    01:56:55;     43.2346;     -1.7479;        23.0;            ;         1.9;           4;SW LESAKA.NA
     1359160;  25/12/2015;    08:11:50;     43.0676;     -1.7479;         0.0;            ;         1.1;           4;SW BEINTZA-LABAIEN.NA
 ign2016hrit;  19/04/2016;    02:28:34;     43.1217;     -2.0305;         0.0;            ;         1.8;           4;NW GAZTELU.SS
 ign2016kpvn;  30/05/2016;    23:16:38;     43.1879;     -1.7193;        21.0;            ;         1.6;           4;SE ARANTZA.NA
 ign2016ntxs;  14/07/2016;    21:31:22;     42.9473;     -1.8494;        11.0;         III;         2.9;           4;N EGIARRETA.NA
 ign2016nusc;  15/07/2016;    07:49:18;     42.9677;     -1.8205;        10.0;            ;         1.7;           4;W ETXALEKU.NA
 ign2016ocwt;  19/07/2016;    19:15:38;     43.1006;     -2.0020;        14.0;            ;         1.7;           4;NE OREXA.SS
 ign2016odfk;  19/07/2016;    23:38:32;     43.0970;     -2.0099;        11.0;            ;         1.1;           4;N OREXA.SS
 ign2016opfp;  26/07/2016;    13:22:12;     42.9375;     -1.8199;        12.0;         III;         3.4;           4;NE IRURTZUN.NA
 ign2016opfs;  26/07/2016;    13:26:11;     42.9454;     -1.8174;        11.0;            ;         2.1;           4;NE IRURTZUN.NA
 ign2016opgo;  26/07/2016;    13:51:28;     42.9131;     -1.8215;        11.0;            ;         1.5;           4;SE IRURTZUN.NA
 ign2016opgt;  26/07/2016;    13:56:33;     42.9485;     -1.7788;        11.0;            ;         1.9;           4;SE ETXALEKU.NA
 ign2016otzl;  29/07/2016;    03:56:17;     42.9394;     -1.8055;        10.0;            ;         1.2;           4;NE IRURTZUN.NA
 ign2016pqwj;  10/08/2016;    16:30:24;     42.9080;     -1.8298;         0.0;      II-III;         2.8;           4;S IRURTZUN.NA
 ign2016pscn;  11/08/2016;    08:45:36;     42.9542;     -1.8134;         0.0;            ;         1.9;           4;SW ETXALEKU.NA
 ign2016rnvw;  06/09/2016;    11:55:48;     42.9467;     -1.8061;        10.0;            ;         1.6;           4;SW ETXALEKU.NA
 ign2016rrcv;  08/09/2016;    06:51:22;     43.0519;     -1.9893;         0.0;            ;         2.2;           4;NW ARRIBE.NA
 ign2016rvdt;  10/09/2016;    11:51:08;     42.9582;     -1.8948;        11.0;            ;         1.2;           4;NW EGIARRETA.NA
 ign2016rxps;  11/09/2016;    20:10:23;     43.1861;     -1.8294;        12.0;            ;         1.8;           4;NE GOIZUETA.NA
 ign2016sbzi;  14/09/2016;    05:34:28;     43.1201;     -1.8541;        12.0;            ;         2.3;           4;NW EZKURRA.NA
 es2017beoki;  31/01/2017;    05:31:38;     43.0814;     -1.7975;         0.0;            ;         1.9;           4;SW ERATSUN.NA
 es2017bneob;  12/02/2017;    08:30:59;     43.1383;     -1.8843;        11.0;            ;         1.7;           4;SW GOIZUETA.NA
 es2017enbdk;  22/04/2017;    09:35:39;     42.9423;     -1.7737;        11.0;          II;         1.9;           4;SE ETXALEKU.NA
 es2017failp;  27/04/2017;    09:57:28;     43.2860;     -1.9845;         0.0;            ;         1.6;           4;NW HERNANI.SS
 es2017feffe;  02/05/2017;    21:17:58;     43.0766;     -1.8588;         0.0;            ;         1.0;           4;SW EZKURRA.NA
 es2017fmchc;  14/05/2017;    04:32:42;     42.9710;     -1.8117;        11.0;            ;         1.3;           4;W ETXALEKU.NA
 es2017hhnni;  23/06/2017;    05:49:15;     43.0770;     -1.7814;         2.0;            ;         1.8;           4;S SALDÍAS.NA
 es2017hppha;  04/07/2017;    22:46:38;     43.1432;     -2.0346;        23.0;            ;         1.4;           4;SW BERROBI.SS
 es2017icgkp;  08/07/2017;    11:51:22;     43.0509;     -2.0543;        11.0;            ;         1.6;           4;E AMEZKETA.SS
 es2017ilmlh;  22/07/2017;    01:07:35;     43.1692;     -1.9795;         0.0;            ;         1.4;           4;NE ELDUAIN.SS
 es2017inand;  23/07/2017;    20:43:07;     43.1883;     -1.7399;        27.0;            ;         1.4;           4;SW ARANTZA.NA
 es2017jbolc;  30/07/2017;    21:32:12;     43.1703;     -1.8187;        15.0;            ;         1.5;           4;E GOIZUETA.NA
 es2017jcjpg;  31/07/2017;    21:58:04;     43.2239;     -1.7578;        22.0;            ;         0.8;           4;NW ARANTZA.NA
 es2017jckpa;  01/08/2017;    00:04:56;     43.2270;     -1.7595;        24.0;            ;         0.5;           4;NW ARANTZA.NA
 es2017jomnb;  18/08/2017;    12:24:13;     43.0430;     -1.7829;        12.0;          II;         2.4;           4;SE ERATSUN.NA
 es2017mejnb;  12/10/2017;    04:01:18;     43.0892;     -1.8003;         0.0;            ;         1.0;           4;NW ERATSUN.NA
 es2017nafko;  29/10/2017;    03:18:06;     43.2434;     -1.7290;        22.0;            ;         1.4;           4;W LESAKA.NA
 es2017naflk;  29/10/2017;    03:24:06;     43.2170;     -1.7399;        21.0;            ;         1.5;           4;NW ARANTZA.NA
 es2017nagjn;  29/10/2017;    05:19:28;     43.2360;     -1.8332;        11.0;          II;         2.8;           4;SE OIARTZUN.SS
 es2018ekhog;  18/04/2018;    15:59:45;     42.9550;     -1.7994;        11.0;            ;         2.0;           4;SW ETXALEKU.NA
 es2018eoomb;  25/04/2018;    01:36:20;     43.0676;     -1.7990;         0.0;            ;         1.8;           4;S ERATSUN.NA
 es2018fbnkl;  29/04/2018;    07:18:55;     43.0985;     -1.7632;        12.0;            ;         1.7;           4;NE SALDÍAS.NA
 es2018fdibg;  01/05/2018;    16:35:12;     42.9874;     -1.8047;        10.0;            ;         1.8;           4;SW JAUNSARATS.NA
 es2018fngki;  16/05/2018;    00:22:11;     43.1193;     -1.7747;        10.0;            ;         1.9;           4;W ZUBIETA.NA
 es2018galen;  20/05/2018;    18:29:54;     42.9511;     -1.8126;        10.0;            ;         1.8;           4;SW ETXALEKU.NA
 es2018gkkfl;  04/06/2018;    03:19:32;     43.1931;     -1.8652;        23.0;            ;         1.9;           4;N GOIZUETA.NA
 es2018hnkfm;  01/07/2018;    14:24:00;     42.9707;     -1.7789;         0.0;          II;         2.0;           4;E ETXALEKU.NA
 es2018jkdjc;  11/08/2018;    21:36:31;     42.9607;     -1.8146;         0.0;            ;         1.7;           4;SW ETXALEKU.NA
 es2018migcg;  17/10/2018;    14:49:06;     43.1834;     -1.8762;        20.0;            ;         1.7;           4;NW GOIZUETA.NA
 es2018mpbmk;  27/10/2018;    08:10:55;     43.1513;     -1.8668;        12.0;            ;         2.3;           4;S GOIZUETA.NA
 es2019abhbc;  03/01/2019;    02:01:01;     43.1501;     -1.7972;         0.0;            ;         1.6;           4;NW ZUBIETA.NA
 es2019cdphd;  21/02/2019;    23:33:28;     43.1887;     -1.7582;        18.0;            ;         1.1;           4;W ARANTZA.NA
 es2019cdphg;  21/02/2019;    23:34:47;     43.1708;     -1.8476;        17.0;            ;         1.5;           4;E GOIZUETA.NA
 es2019cebae;  22/02/2019;    02:57:21;     43.1097;     -1.8418;        11.0;            ;         1.1;           4;NW EZKURRA.NA
 es2019djcep;  24/03/2019;    14:11:45;     43.1287;     -1.9954;        17.0;            ;         1.4;           4;SE ELDUAIN.SS
 es2019edbgb;  07/04/2019;    23:02:58;     43.1957;     -1.8697;        19.0;            ;         1.8;           4;E ARANO.NA
 es2019ehfpp;  14/04/2019;    03:48:43;     43.1784;     -1.9497;        27.0;            ;         1.3;           4;NE ELDUAIN.SS
 es2019ehgac;  14/04/2019;    03:50:26;     43.1853;     -1.9097;        26.0;            ;         1.3;           4;SW ARANO.NA
 es2019emdde;  21/04/2019;    03:11:48;     43.1175;     -1.7861;         0.0;            ;         1.7;           4;N SALDÍAS.NA
 es2019qgdgu;  19/08/2019;    23:50:54;     43.1560;     -2.0306;        20.0;            ;         2.2;           4;NW BERROBI.SS
 es2019qgets;  20/08/2019;    00:36:15;     43.1598;     -2.0180;        30.0;            ;         1.6;           4;NE BERROBI.SS
 es2019qggno;  20/08/2019;    01:29:41;     43.1514;     -1.9888;        31.0;            ;         1.5;           4;NE ELDUAIN.SS
 es2019ulyne;  19/10/2019;    02:05:45;     42.9742;     -1.8215;        12.0;            ;         1.4;           4;W IMOTZ.NA
 es2019uorqw;  20/10/2019;    14:01:54;     42.9558;     -1.7884;         0.0;            ;         1.7;           4;S IMOTZ.NA
 es2020crnyx;  08/02/2020;    01:14:21;     42.9913;     -2.1810;        12.0;            ;         1.1;           4;S ATAUN.SS
 es2020csneh;  08/02/2020;    13:58:20;     42.9956;     -2.1375;        10.0;            ;         1.2;           4;SE ATAUN.SS
 es2020csnem;  08/02/2020;    13:58:32;     42.9963;     -2.1730;        15.0;            ;         1.4;           4;SE ATAUN.SS
 es2020csnnu;  08/02/2020;    14:09:23;     42.9956;     -2.1471;        10.0;            ;         1.3;           4;SE ATAUN.SS
 es2020csnsc;  08/02/2020;    14:14:25;     42.9891;     -2.1314;        12.0;            ;         1.8;           4;SE ATAUN.SS
 es2020csnss;  08/02/2020;    14:15:08;     42.9983;     -2.1546;        14.0;            ;         1.1;           4;SE ATAUN.SS
 es2020ctalr;  08/02/2020;    20:40:55;     42.9807;     -2.1508;         8.0;            ;         2.3;           4;SE ATAUN.SS
 es2020ctatj;  08/02/2020;    20:49:53;     43.0011;     -2.1466;        10.0;            ;         1.3;           4;E ATAUN.SS
 es2020ctavi;  08/02/2020;    20:52:12;     43.0311;     -2.1966;        14.0;            ;         1.4;           4;NE OLABERRIA.SS
 es2020ctavq;  08/02/2020;    20:52:32;     42.9986;     -2.1239;        13.0;            ;         1.6;           4;E ATAUN.SS
 es2020ctawg;  08/02/2020;    20:53:16;     42.9798;     -2.1404;        11.0;            ;         1.5;           4;SE ATAUN.SS
 es2020ctaxm;  08/02/2020;    20:54:41;     42.9848;     -2.1359;        11.0;            ;         1.6;           4;SE ATAUN.SS
 es2020ctbaq;  08/02/2020;    20:58:24;     42.9793;     -2.1795;         6.0;            ;         1.3;           4;S ATAUN.SS
 es2020ctbxs;  08/02/2020;    21:25:17;     42.9887;     -2.1607;         9.0;            ;         1.8;           4;SE ATAUN.SS
 es2020ctbys;  08/02/2020;    21:26:28;     42.9960;     -2.1514;         9.0;            ;         1.3;           4;SE ATAUN.SS
 es2020ctcfi;  08/02/2020;    21:34:10;     43.0121;     -2.1701;        14.0;            ;         1.2;           4;NE ATAUN.SS
 es2020ctdid;  08/02/2020;    22:07:43;     42.9936;     -2.1570;        13.0;            ;         1.2;           4;SE ATAUN.SS
 es2020ctdma;  08/02/2020;    22:12:17;     42.9848;     -2.1521;        11.0;            ;         1.3;           4;SE ATAUN.SS
 es2020ctdyx;  08/02/2020;    22:27:16;     43.0023;     -2.1499;        15.0;            ;         1.3;           4;E ATAUN.SS
 es2020cteab;  08/02/2020;    22:28:37;     42.9984;     -2.1573;        12.0;            ;         1.4;           4;SE ATAUN.SS
 es2020dmrqg;  19/02/2020;    14:53:20;     43.1562;     -1.8894;        12.0;            ;         1.6;           4;SW GOIZUETA.NA
 es2020drrnp;  22/02/2020;    08:30:10;     43.1110;     -1.7368;        11.0;            ;         1.3;           4;SE ZUBIETA.NA
 es2020ebtko;  27/02/2020;    20:47:09;     43.1163;     -1.7782;         0.0;            ;         1.6;           4;W ZUBIETA.NA
 es2020fhfeh;  16/03/2020;    01:51:15;     43.1589;     -1.8974;        18.0;            ;         2.3;           4;SW GOIZUETA.NA
 es2020gcfxn;  27/03/2020;    14:01:29;     43.1370;     -2.2182;        19.0;            ;         1.9;           4;W BEIZAMA.SS
 es2020hbzmz;  10/04/2020;    16:15:07;     43.1040;     -1.9159;         4.0;            ;         1.2;           4;N LEITZA.NA
 es2020jbkyx;  08/05/2020;    19:49:55;     43.1769;     -2.1939;        24.0;            ;         1.3;           4;NW ERREZIL.SS
 es2020jbzgu;  09/05/2020;    03:03:24;     43.1373;     -2.1987;        33.0;            ;         1.5;           4;NE BEIZAMA.SS
 es2020loufa;  13/06/2020;    14:09:12;     43.1815;     -2.2349;        31.0;            ;         1.5;           4;E AZPEITIA.SS
 es2020lphhe;  13/06/2020;    20:45:42;     43.1400;     -2.2530;        31.0;            ;         1.3;           4;W BEIZAMA.SS
 es2020lponz;  14/06/2020;    00:25:47;     43.1812;     -2.2368;        29.0;            ;         1.3;           4;E AZPEITIA.SS
 es2020lwbcz;  17/06/2020;    13:34:55;     43.0934;     -2.2119;        21.0;          II;         3.0;           4;NW ITSASONDO.SS
 es2020lwbwr;  17/06/2020;    13:57:50;     43.1026;     -2.2089;        21.0;            ;         2.6;           4;S BEIZAMA.SS
 es2020nptvp;  12/07/2020;    14:01:43;     43.2346;     -1.7353;        24.0;            ;         1.6;           4;SW LESAKA.NA
 es2020obtvm;  19/07/2020;    03:37:27;     43.1619;     -2.1010;        28.0;            ;         1.2;           4;SE ALKIZA.SS
 es2020ppmpx;  09/08/2020;    21:18:26;     43.1373;     -1.8458;         0.0;          II;         3.0;           4;SE GOIZUETA.NA
 es2020pvjji;  13/08/2020;    02:27:46;     43.1550;     -1.9309;        27.0;            ;         1.4;           4;NE BERASTEGI.SS
 es2020qqlis;  24/08/2020;    15:15:29;     43.1321;     -1.8378;        20.0;            ;         1.6;           4;SE GOIZUETA.NA
 es2020qqwww;  24/08/2020;    21:05:24;     43.1175;     -1.8171;         3.0;            ;         1.6;           4;N EZKURRA.NA
 es2020qryqj;  25/08/2020;    11:06:24;     43.1290;     -1.8453;        11.0;            ;         1.7;           4;SE GOIZUETA.NA
 es2020qsenk;  25/08/2020;    14:04:49;     43.1455;     -1.8417;        16.0;            ;         1.7;           4;SE GOIZUETA.NA
 es2020qssny;  25/08/2020;    21:09:44;     43.1401;     -1.8536;        19.0;            ;         1.3;           4;SE GOIZUETA.NA
 es2020qtfys;  26/08/2020;    03:56:15;     43.1288;     -1.8282;        14.0;            ;         1.2;           4;N EZKURRA.NA
 es2020qudxp;  26/08/2020;    16:02:20;     43.1278;     -1.8279;        12.0;            ;         1.6;           4;N EZKURRA.NA
 es2020quqol;  26/08/2020;    22:25:40;     43.1357;     -1.8402;        13.0;            ;         1.2;           4;SE GOIZUETA.NA
 es2020reeak;  01/09/2020;    03:25:31;     43.1157;     -1.8429;         2.0;            ;         1.2;           4;NW EZKURRA.NA
 es2020srfyu;  22/09/2020;    12:35:53;     43.0691;     -1.9744;         8.0;            ;         1.2;           4;SW ARESO.NA
 es2020uxhvu;  24/10/2020;    07:16:30;     43.0918;     -1.9643;         0.0;            ;         1.7;           4;NW ARESO.NA
 es2020vkpew;  31/10/2020;    13:43:05;     43.1553;     -1.9150;        20.0;            ;         1.2;           4;NE BERASTEGI.SS
 es2020vsafj;  04/11/2020;    15:12:58;     43.1474;     -1.8527;        11.0;            ;         2.1;           4;SE GOIZUETA.NA
 es2020wxsdz;  21/11/2020;    23:24:38;     43.1182;     -2.4937;        12.0;            ;         2.2;           4;SW ELGETA.SS
 es2020xbopj;  24/11/2020;    02:08:36;     43.0644;     -1.7637;         5.0;            ;         1.7;           4;SE SALDÍAS.NA
 es2020zsokd;  31/12/2020;    20:13:54;     43.0723;     -1.9570;         0.0;            ;         1.6;           4;SW ARESO.NA
 es2021aucyd;  12/01/2021;    00:08:34;     43.0757;     -1.9895;         3.0;            ;         1.5;           4;W ARESO.NA
 es2021bfimw;  18/01/2021;    03:25:09;     43.1330;     -1.8566;         0.0;            ;         1.8;           4;S GOIZUETA.NA
 es2021crzmz;  08/02/2021;    07:04:09;     43.1477;     -1.8394;         0.0;            ;         1.6;           4;SE GOIZUETA.NA
