Age,M,F
0-4,2140220,2043064
5-9,2515670,2404138
10-14,2712981,2590493
15-19,2829056,2703261
20-24,3069901,2933713
25-29,3117796,2980646
30-34,3228268,3083730
35-39,3525587,3404646
40-44,3941669,3832461
45-49,4768302,4651109
50-54,4607976,4542032
55-59,3959889,3935706
60-64,3642689,3694683
65-69,3635711,3819478
70-74,4479197,4974585
75-79,3243155,3915258
80-84,2506575,3407225
85-89,1518122,2596471
90-94,622081,1493945
95-99,158464,586502
100+,16547,118679
